Index	Compounds	物质	Class I	物质一级分类	Class II	物质二级分类	Q1 (Da)	Molecular weight (Da)	Ionization model	Formula	C1	C2	C3	C5	C6	C7	C8	B1	B3	B4	B5	B6	B7	B9	QC01	QC02	QC03	cpd_ID	HMDB	PubChem CID	CAS	ChEBI	Metlin	kegg_map
MEDP2260	(+)-13α-hydroxyrupanine	（+）-13α-羟鲁帕宁	Aldehyde,Ketones,Esters	醛、酮、酯类	Ketones	酮类	265.2	264.183778	[M+H]+	C15H24N2O2	23906.51562	27893.35589	33822.51723	25091.78437	24042.81397	15932.20778	24524.452	12600.91137	37336.3085	15513.06355	35040.50897	28884.64414	16948.90095	16745.40671	23024.11812	18371.30913	9796.908769	C02621	-	73404	15358-48-2	-	-	-
MW0010749	(+)-7-iso-Jasmonic acid	7-表茉莉酮酸	Organic acid And Its derivatives	-	Organic acid And Its derivatives	-	419.23935	210.1255945	[2M-H]-	C12H18O3	40883.232	67733.07419	38499.7284	52063.48949	52873.66931	50755.74388	58593.74908	62213.09568	73221.60254	58929.04805	50719.88558	51908.85775	75652.9951	51607.32271	46901.29455	68206.33284	78837.67855	-	-	7251183	62653-85-4	-	-	-
MEDP2360	(+/-)-High-Proline	(+/-)-高脯氨酸	Amino acid and Its metabolites	氨基酸及其代谢物	Amino acid derivatives	氨基酸衍生物	130.1	129.07843	[M+H]+	C6H11NO2	216288.5443	199509.4322	337570.4325	271104.2551	125025.557	259152.354	265726.4518	255085.8932	321161.7372	290859.4119	322292.6217	250574.1743	263973.8679	178368.3073	244695.2751	292736.9079	152560.8754	-	HMDB0029444	123784	56879-46-0	-	-	-
MW0111359	(-)-erythro-Anethole glycol 2-glucoside	(-)-赤型-茴香脑二醇2-葡萄糖苷	Benzene and substituted derivatives	-	Benzene and substituted derivatives	-	383.10305	344.1471179	[M+K]+	C16H24O8	5615848.487	2718588.85	3826700.584	4944621.889	5081076.521	4148247.431	5329771.403	3922348.259	6354022.786	3423911.95	2473139.999	2796741.233	5530497.715	4348669.757	3217130.092	3734483.046	3835842.152	-	HMDB0033067	45360332	217973-39-2	-	-	-
MW0000529	(10)-Gingerol	(10)-姜辣素	Benzene and substituted derivatives	-	Phenolics	-	385.2226	350.2457097	[M+Cl]-	C21H34O4	696188.08	703241.7444	630513.8377	259032.776	495342.3342	704811.72	508327.2178	501858.5425	578090.2859	618465.0533	622181.5747	516496.5181	404384.7118	386587.2703	324223.625	551844.1412	576858.9312	C17496	HMDB0033616	168115	23513-15-7	-	-	-
MW0140187	(10S)-Juvenile hormone III acid diol	(10S)-保幼激素III酸性二醇	Hormones and hormone related compounds	-	Hormones and hormone related compounds	-	269.1774	270.1831094	[M-H]-	C15H26O4	76039.85988	125220.016	119651.786	190881.7065	198222.7486	152629.572	168721.3129	152443.4378	186112.0863	111778.254	144932.3529	170437.257	106851.5786	155842.6195	149146.5237	147018.2341	138502.5548	-	-	23724772	-	-	-	-
MW0140188	(10S)-Juvenile hormone III diol	(10S)-保幼激素III二醇	Hormones and hormone related compounds	-	Hormones and hormone related compounds	-	305.1735	284.1987595	[M+Na-2H]-	C16H28O4	89538.72308	19032.70797	65768.274	209892.8985	33551.02774	78571.19929	86866.44232	220367.1622	213952.8565	104770.1832	158802.6283	68261.24894	291900.3924	88224.32079	135813.1903	137889.9174	142976.627	-	-	10859043	-	-	-	-
MW0000119	(10S,13S,16S,1R,9R,14R,18R)-13-ethyl-8-methyl-8,15-diazahexacyclo[14.2.1.0<1,9 >.0<2,7>.0<10,15>.0<12,17>]nonadeca-2,4,6-triene-14,18-diol	-	Alkaloids	-	Alkaloids	-	327.21455	326.1994282	[M+H]+	C20H26N2O2	43509.60481	78004.06058	38215.80242	76847.3151	56683.69959	56505.35432	65238.55294	54655.58346	56590.01225	49842.12036	54980.87759	67944.75179	50590.83657	50983.04847	39745.96636	50862.40852	49757.0607	-	-	15559810	-	-	-	-
MW0151200	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylic acid	-	Organic acid And Its derivatives	-	Organic acid And Its derivatives	-	225.0409	206.0426528	[M+F]-	C7H10O7	64335.86215	51985.40424	48689.92392	63961.325	50677.46865	49498.8504	67769.28942	52361.70174	63685.58245	49742.5693	71666.49847	68479.14434	48892.24604	47378.47117	60249.60608	65979.69462	57518.1803	C05662	-	5460287	-	-	-	ko00300,ko01100,ko01210,ko01230,ko01240
MEDP1203	(1R,6S)-6-amino-5-oxocyclohexyl-2-ene-1-carboxylic-acid-ester	(1R,6S)-6-氨基-5-氧代环己基-2-烯-1-羧酸酯	Aldehyde,Ketones,Esters	醛、酮、酯类	Esters	酯类	156.1	155.05823	[M+H]+	C7H9NO3	5709096.199	7021909.255	6993775.285	8448307.917	7749191.898	4385924.878	9688547.637	5422016.958	4960809.672	8166233.574	7408022.454	9060141.874	5982940.044	4424646.081	4588803.755	6478247.376	5838138.28	C19831	-	49852389	-	-	-	ko01100
MW0154592	(1R,9R,10S,12R,13S,14R,16S,18R)-13-ethyl-8,15-diazahexacyclo[14.2.1.01,9.02,7.010,15.012,17]nonadeca-2,4,6-triene-14,18-diol	去甲麻黄碱	Alkaloids	-	Alkaloids	-	379.1403	312.1837781	[M-2H+3Na]+	C19H24N2O2	500.0	500.0	500.0	500.0	500.0	500.0	500.0	38647858.17	387735.3739	25711.45157	2613007.1	55913876.2	45675389.1	78202.95981	15582621.41	11727303.27	9624438.931	-	-	443416	-	-	-	-
MW0054472	(1S,2R,3R,4S,5R,6S,8R,9S,13S,16S,17R,18S)-11-ethyl-13-(hydroxymethyl)-4,6,16,18-tetramethoxy-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecane-8,9-diol	-	Alcohol and amines	-	Alcohols	-	468.2935	467.2883028	[M+H]+	C25H41NO7	459898.4032	520071.3835	465136.0754	528428.8044	623805.204	354781.1312	634626.2809	699047.432	1276306.466	650172.0926	591054.3974	559286.9419	688213.996	641012.3541	462186.7961	502922.3325	619911.0153	C08697	-	441746	26000-17-9	-	-	-
MEDP2415	(2-Hydroxyethyl)phosphonic acid	（2-羟乙基）膦酸	Organic acid And Its derivatives	有机酸及其衍生物	Organic acid And Its derivatives	有机酸及其衍生物	127.0	126.00765	[M+H]+	C2H7O4P	201232.2423	218011.5706	293021.4657	240952.4652	261686.8873	257988.7003	216466.0755	101419.8189	223078.191	145905.1813	157379.4827	154403.5627	114912.5046	389582.7941	142692.4299	167370.6969	187977.0674	C06451	-	89954	22987-21-9	-	-	ko00440,ko01100
MEDN1921	(2R)-Glycerol-O-β-D-galactopyranoside	（2R）-甘油-O-β-D-吡喃半乳糖苷	Carbohydrates and Its metabolites	碳水化合物及其代谢物	Carbohydrates and Its metabolites	碳水化合物及其代谢物	253.1	254.10017	[M-H]-	C9H18O8	4748.3996	15103.08659	11485.77836	14702.86455	16267.93701	14773.98321	11799.90745	25672.74045	26976.13398	18770.09417	19066.68399	18518.98554	23383.23485	12562.66439	10857.17903	20812.08566	12662.56993	C05401	HMDB0038664	16048618	16232-91-0	-	-	ko00052,ko00561
MW0107535	(2S)-1-[(2S,4R)-4-benzyl-2-hydroxy-5-[[(1R,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]amino]-5-oxopentyl]-N-tert-butyl-4-(pyridin-3-ylmethyl)piperazine-2-carboxamide	(2S)-1-[(2S,4R)-4-benzyl-2-hydroxy-5-[[(1R,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]amino ]-5-氧代戊基]-N-叔丁基-4-(吡啶-3-基甲基)哌嗪-2-甲酰胺	Benzene and substituted derivatives	-	Benzene and substituted derivatives	-	596.3474	613.3628052	[M+H-H2O]+	C36H47N5O4	517040.6586	411528.53	451684.9409	1422823.629	589645.1105	758590.8412	1349142.845	475843.3669	220431.0518	295381.0971	735484.1989	201003.8094	574309.9263	330343.378	922895.2661	805992.2924	854192.591	-	HMDB0014369	53713043	-	44032	-	-
MEDP1307	(2S,3S)-3-methylphenylalanine	(2S,3S)-3-甲基苯丙氨酸	Amino acid and Its metabolites	氨基酸及其代谢物	Amino acid derivatives	氨基酸衍生物	180.1	179.09462	[M+H]+	C10H13NO2	245157.591	295578.55	352629.1697	263750.774	482912.9571	360630.062	310625.1665	411539.5347	302421.0396	339794.7666	626574.1763	435211.792	423031.3883	485468.6914	248676.3721	420885.5975	392881.926	C20895	-	854352	25488-25-9	-	-	-
MW0115216	(2S,3S,4S,5R,6S)-6-[4-[2-Amino-1-(1-hydroxycyclohexyl)ethyl]phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid	O-去甲基文拉法辛葡萄糖醛酸苷	Others	-	Others	-	412.1938	411.1893171	[M+H]+	C20H29NO8	508125.8995	292042.8396	246282.2668	301713.7326	2528966.908	242974.5525	430475.3332	243428.5834	357423.8558	1005007.012	251028.1983	265188.9801	874405.168	170425.2741	325019.8778	387754.6528	181396.098	-	HMDB0061172	71316024	-	-	-	-
MEDN2099	(2s)-2-Amino-4-sulfinobutanoic acid	（2s）-2-氨基-4-亚磺基丁酸	Amino acid and Its metabolites	氨基酸及其代谢物	Amino acid derivatives	氨基酸衍生物	166.0	167.025229	[M-H]-	C4H9NO4S	106618.6297	79809.97327	74322.34694	101983.5975	138466.3028	152786.9682	100775.9829	81495.11057	97994.07039	105336.8622	88130.78519	88055.2031	84165.29864	72118.33661	80540.19281	80215.62353	87239.08505	-	-	75896	2686-70-6	-	-	-
MEDN0528	(3-Methoxy-4-hydroxyphenyl)ethylene glycol sulfate	(3-甲氧基-4-羟基苯基)乙二醇硫酸酯	Organic acid And Its derivatives	有机酸及其衍生物	Organic acid And Its derivatives	有机酸及其衍生物	263.0	264.0303734	[M-H]-	C9H12O7S	50393.34835	34730.51393	53563.74974	41696.12394	54439.27994	51950.35886	83126.24032	139394.7148	34876.26764	31432.20679	61414.34067	51138.93496	42727.31015	47675.86847	63848.98175	49595.89775	69543.16275	-	HMDB0000559	5543	3415-67-6	137054	5543	-
MW0115899	(3R)-5-(2-fluorophenyl)-3-(1H-indol-3-ylmethyl)-1-methyl-3H-1,4-benzodiazepin-2-one	(3R)-5-(2-fluorophenyl)-3-(1H-indol-3-ylmethyl)-1-methyl-3H-1,4-benzodiazepin-2-one	Benzene and substituted derivatives	-	Benzene and substituted derivatives	-	415.1969	397.1590406	[M+NH4]+	C25H20FN3O	12954435.82	5079012.4	4977229.576	13879547.53	5582006.278	10740059.19	6354547.406	13805557.98	13519568.79	10218357.88	6855127.95	7071163.821	4846163.594	10463243.81	3535380.028	3986976.334	2685820.7	C13824	-	656755	103342-82-1	-	-	-
MEDP1274	(4Z,7Z,10Z,13Z,16Z,19Z)-Eicosahexaenoate	(4Z,7Z,10Z,13Z,16Z,19Z)-二十二碳六烯酸乙酯	Aldehyde,Ketones,Esters	醛、酮、酯类	Esters	酯类	357.3	356.27152	[M+H]+	C24H36O2	15610.30755	205133.7256	95756.59386	154484.4354	130490.8173	59419.03409	18096.48937	16779.82324	9095.134982	21194.76036	27907.12361	1446.54083	20734.67165	31498.92671	93992.11289	51034.85488	55946.14261	C16185	-	47205493	81926-94-5	-	-	-
MW0143463	(5-Oxo-2-sulfo-2,5-dihydrofuran-2-yl)acetic acid	4-磺内酯；4-羧甲基-4-磺基丁-2-烯-4-内酯；4-磺基粘酸内酯	Aldehyde,Ketones,Esters	-	Esters	-	258.9324	221.9834233	[M+K-2H]-	C6H6O7S	332003.8107	469378.3551	228570.9228	471436.7651	579890.7526	281945.6926	914476.6114	1248454.297	426214.0638	338950.6513	484714.3647	581143.5615	1203484.699	944078.6097	373272.8749	723997.3289	423534.0821	C06676	-	9543220	-	-	-	-
