"No.","ID","Name","Match status","Pvalue","Metabolite ID","Metabolites","Sig. Metabolite ID","Sig. Metabolites"
1,"ko00350","Tyrosine metabolism","6 in 56","2.44e-04","C01179; C00628; C00544; C05576; C02465; C00788","4-HydroxyphenylpyruvicAcid; 2,5-Dihydroxybenzoicacid; HomogentisicAcid; DL-3,4-Dihydroxyphenylglycol; 3,3,5-Triiodo-L-Thyronine; Epinephrine","C01179; C00628; C00544; C05576; C02465; C00788","4-HydroxyphenylpyruvicAcid; 2,5-Dihydroxybenzoicacid; HomogentisicAcid; DL-3,4-Dihydroxyphenylglycol; 3,3,5-Triiodo-L-Thyronine; Epinephrine"
2,"ko00230","Purine metabolism","7 in 81","2.81e-04","C00385; C00294; C00499; C00212; C00942; C00262; C00242","Xanthine; Inosine; Allantoicacid; Adenosine; Guanosine3,5-CyclicMonophosphate; Hypoxanthine; Guanine","C00385; C00294; C00499; C00212; C00942; C00262; C00242","Xanthine; Inosine; Allantoicacid; Adenosine; Guanosine3,5-CyclicMonophosphate; Hypoxanthine; Guanine"
3,"ko00220","Arginine biosynthesis","4 in 23","4.40e-04","C00049; C03406; C00437; C00327","L-AsparticAcid; Argininosuccinicacid; N-acetylornithine; L-Citrulline","C00049; C03406; C00437; C00327","L-AsparticAcid; Argininosuccinicacid; N-acetylornithine; L-Citrulline"
4,"ko00750","Vitamin B6 metabolism","4 in 23","4.40e-04","C00847; C00314; C00534; C00250","4-PyridoxicAcid; Pyridoxine; Pyridoxamine; Pyridoxal","C00847; C00314; C00534; C00250","4-PyridoxicAcid; Pyridoxine; Pyridoxamine; Pyridoxal"
5,"ko00380","Tryptophan metabolism","5 in 50","1.15e-03","C00632; C05634; C00078; C00954; C05645","3-HydroxyanthranilicAcid; 5-hydroxyindoleacetaldehyde; L-Tryptophan; Indole-3-AceticAcid; 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoicacid","C00632; C05634; C00078; C00954; C05645","3-HydroxyanthranilicAcid; 5-hydroxyindoleacetaldehyde; L-Tryptophan; Indole-3-AceticAcid; 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoicacid"
6,"ko00232","Caffeine metabolism","3 in 15","1.61e-03","C00385; C16353; C07481","Xanthine; 7-Methylxanthine; Caffeine","C00385; C16353; C07481","Xanthine; 7-Methylxanthine; Caffeine"
7,"ko00670","One carbon pool by folate","2 in 9","8.66e-03","C00234; C00504","10-Formyl-Thf; Folic-acid","C00234; C00504","10-Formyl-Thf; Folic-acid"
8,"ko00970","Aminoacyl-tRNA biosynthesis","4 in 52","9.48e-03","C00049; C00078; C00097; C00234","L-AsparticAcid; L-Tryptophan; L-Cysteine; 10-Formyl-Thf","C00049; C00078; C00097; C00234","L-AsparticAcid; L-Tryptophan; L-Cysteine; 10-Formyl-Thf"
9,"ko00250","Alanine, aspartate and glutamate metabolism","3 in 28","9.97e-03","C00049; C00158; C03406","L-AsparticAcid; CitricAcid; Argininosuccinicacid","C00049; C00158; C03406","L-AsparticAcid; CitricAcid; Argininosuccinicacid"
10,"ko00300","Lysine biosynthesis","3 in 34","1.70e-02","C00049; C00449; C00956","L-AsparticAcid; L-Saccharopine; 2-AminoadipicAcid","C00049; C00449; C00956","L-AsparticAcid; L-Saccharopine; 2-AminoadipicAcid"
