"No.","ID","Name","Match status","Pvalue","Metabolite ID","Metabolites","Sig. Metabolite ID","Sig. Metabolites"
1,"ko00627","Aminobenzoate degradation","5 in 62","3.85e-04","C00755; C03590; C00196; C18347; C00146","4-Hydroxy-3-methoxybenzaldehyde; 4-hydroxyphenylglyoxylate; 2,3-Dihydroxybenzoicacid; 6,6-Dihydroxy-5,5-dimethoxybiphenyl-3,3-dicarboxylicacid; Phenol","C00755; C03590; C00196; C18347; C00146","4-Hydroxy-3-methoxybenzaldehyde; 4-hydroxyphenylglyoxylate; 2,3-Dihydroxybenzoicacid; 6,6-Dihydroxy-5,5-dimethoxybiphenyl-3,3-dicarboxylicacid; Phenol"
2,"ko00363","Bisphenol degradation","1 in 4","4.12e-02","C13636","4-acetoxyphenol","C13636","4-acetoxyphenol"
3,"ko00073","Cutin, suberine and wax biosynthesis","1 in 6","0.061","C19418","cis-EODA","C19418","cis-EODA"
4,"ko00365","Furfural degradation","1 in 8","0.081","C20450","2,5-Furandicarboxylicacid","C20450","2,5-Furandicarboxylicacid"
5,"ko00260","Glycine, serine and threonine metabolism","2 in 47","0.085","C05519; C06231","L-Allothreonine; Ectoine","C05519; C06231","L-Allothreonine; Ectoine"
6,"ko00051","Fructose and mannose metabolism","2 in 52","0.102","C00507; C00392","L-Rhamnose; D-Mannitol","C00507; C00392","L-Rhamnose; D-Mannitol"
7,"ko00350","Tyrosine metabolism","2 in 52","0.102","C06044; C00146","2-(4-Hydroxyphenyl)ethanol; Phenol","C06044; C00146","2-(4-Hydroxyphenyl)ethanol; Phenol"
8,"ko00240","Pyrimidine metabolism","2 in 61","0.132","C02067; C02354","-Pseudouridine; Cytidine<U+00A02,3-cyclic<U+00A0monophosphoric<U+00A0acid","C02067; C02354","-Pseudouridine; Cytidine<U+00A02,3-cyclic<U+00A0monophosphoric<U+00A0acid"
9,"ko00403","Indole diterpene alkaloid biosynthesis","1 in 15","0.146","C20525","3-Geranylgeranylindole","C20525","3-Geranylgeranylindole"
10,"ko00999","Biosynthesis of various secondary metabolites - part 1","1 in 15","0.146","C20404","1-Deoxyvaleric-acid","C20404","1-Deoxyvaleric-acid"
11,"ko00362","Benzoate degradation","2 in 65","0.147","C00196; C00146","2,3-Dihydroxybenzoicacid; Phenol","C00196; C00146","2,3-Dihydroxybenzoicacid; Phenol"
