"No.","ID","Name","Match status","Pvalue","Metabolite ID","Metabolites","Sig. Metabolite ID","Sig. Metabolites"
1,"ko00333","Prodigiosin biosynthesis","1 in 18","4.85e-02","C02679","FFA(12:0)","C02679","FFA(12:0)"
2,"ko00430","Taurine and hypotaurine metabolism","1 in 19","0.051","C05122","Taurocholicacid","C05122","Taurocholicacid"
3,"ko00780","Biotin metabolism","1 in 23","0.062","C00120","Biotin","C00120","Biotin"
4,"ko00590","Arachidonic acid metabolism","1 in 36","0.095","C04742","()15-HETE","C04742","()15-HETE"
5,"ko00120","Primary bile acid biosynthesis","1 in 46","0.12","C05122","Taurocholicacid","C05122","Taurocholicacid"
6,"ko00380","Tryptophan metabolism","1 in 50","0.129","C05645","4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoicacid","C05645","4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoicacid"
7,"ko00100","Steroid biosynthesis","1 in 51","0.132","C11455","(3beta,5alpha)-4,4-Dimethylcholesta-8,14,24-trien-3-ol","C11455","(3beta,5alpha)-4,4-Dimethylcholesta-8,14,24-trien-3-ol"
8,"ko00061","Fatty acid biosynthesis","1 in 53","0.137","C02679","FFA(12:0)","C02679","FFA(12:0)"
9,"ko00350","Tyrosine metabolism","1 in 56","0.144","C00642","PHydroxyphenylAceticAcid","C00642","PHydroxyphenylAceticAcid"
10,"ko00240","Pyrimidine metabolism","1 in 61","0.156","C00214","Thymidine","C00214","Thymidine"
11,"ko00520","Amino sugar and nucleotide sugar metabolism","1 in 104","0.252","C03410","N-ethyleneglycolneuraminicacid","C03410","N-ethyleneglycolneuraminicacid"
12,"ko00860","Porphyrin and chlorophyll metabolism","1 in 106","0.256","C00500","Biliverdin","C00500","Biliverdin"
