"kingdom","phylum","class","order","family","genus","species","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uncultured bacterium",0,1,0,155,0,9735,724,22,779,1,823,1892,209,1914,2456,2986,144,1,32,85,2,454,27,0,1,0,0,1640,2171,536
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uncultured bacterium",1,0,5113,423,1063,0,0,3,814,1,0,0,0,928,0,302,0,0,85,734,1,955,110,3,31,0,0,2,1740,350
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-004","uncultured bacterium",0,0,3,0,0,0,12,0,1,1,20,31,10,0,7,0,1,9,14,16,1,7,124,0,36,61,0,44,0,15
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Others",23,0,0,1,2,16,101,137,42,65,6,0,26,3,102,0,0,14,7,194,12,31,12,206,41,1,48,6,27,21
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Others",3,36,13,1,0,27,3,0,0,0,34,135,3,0,38,52,3,12,1,0,0,15,4,2,4,6,1,0,0,4
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","uncultured bacterium",0,61,19,5,35,8,503,3,33,347,13,0,207,6,4,1,0,16,0,0,0,13,15,4,4,1,0,7,0,8
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus","uncultured bacterium",4,13,6,1,4,10,34,1,36,91,59,45,92,7,26,8,9,45,141,102,7,16,107,128,45,54,143,130,150,42
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","uncultured bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus 1","uncultured bacterium",0,2,9,5,4,7,12,1,0,24,0,0,25,15,16,14,8,2,20,8,0,8,23,4,26,18,31,0,17,5
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter","uncultured bacterium",15,11,30,0,0,2,0,12,0,0,71,43,0,7,15,1,0,18,2,0,0,0,11,0,7,0,3,6,6,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-014","Others",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Others",4,0,0,0,0,0,0,0,0,0,2,99,2,0,4,1,0,57,0,1,0,1,29,0,39,0,0,0,1,0
"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium","Others",112,30,234,1,174,2727,1364,4,129,0,524,3,356,628,0,16,0,576,856,1451,0,86,2731,440,589,1,482,1981,969,67
