	Compounds	WT_14w	WT_22w	C_14w	C_22w	B_14w	B_22w	W_14w	W_22w	P_14w	P_22w	HMDB	kegg_map
1	(¡À)13-HpODE	14.5193454498944	14.6707879956998	14.5477497830845	14.5541503892562	16.1671180663324	16.1545351321479	16.5083760661509	16.3415828840423	14.5930635359731	15.1233496340926	HMDB0003871	ko00591,ko01100
2	(3beta,5alpha)-4,4-Dimethylcholesta-8,14,24-trien-3-ol	8.08980365848627	3.11169214577723	3.72471728374185	8.8488131312557	8.23439057437454	12.6833598040333	9.09558725996429	9.04281386573318	13.1034694946027	12.9359604436527	HMDB0001023	ko00100,ko01100
3	(R)-2-Hydroxy-3-phenylpropionic-acid	15.7899157083033	15.5476445761892	15.5650359245257	15.5855434677522	15.2614082093214	15.7724501753969	15.5027698413258	15.42314010426	15.6569659179715	15.5524808254283	HMDB0000563	ko00360,ko01100
4	(R)-3-Hydroxybutanoic acid	13.1245006526586	12.7202242986976	13.020528771538	13.2270016647404	13.5450984163615	12.8316435029983	13.0232666877711	13.0815769716401	13.8376223458697	13.3958318183391	HMDB0000011	-
5	(Rs)-Mevalonic Acid	13.359386503005	13.146372451956	13.4510339177561	12.9588704029218	13.4755534110128	13.26660252842	13.6096403963409	13.4219958487494	13.1449732218849	13.11422207443	HMDB0000227	ko00900,ko01100,ko04216
6	1-Methyluric Acid	13.8642784399795	14.0877942439253	14.2749820676103	13.4503250125598	14.7070207144072	13.9809076946752	13.8562352752375	13.5462368291008	13.6897878842148	13.0485550101818	HMDB0003099	ko00232
7	1,4-Dihydro-1-Methyl-4-Oxo-3-Pyridinecarboxamide	15.9551652773817	15.3541419386932	15.9819729999678	16.2773961159355	16.0838038115161	15.8887802252171	16.6197652212741	16.4079052085989	16.352973052411	16.9116278997496	HMDB0004194	ko00760,ko01100
8	10-Formyl-Thf	12.1440925649915	12.4387590769336	12.250237739089	8.62358006515321	14.0776855805937	14.8118792742007	13.8591128444018	14.2573043823695	13.5263296639877	13.2051937941696	HMDB0000972	ko00670,ko00970,ko01100,ko01200,ko01240,ko01523
9	11-Beta-hydroxyandrostenedione	14.6363960281876	10.1035179118473	15.0028003118655	14.5429944910724	10.1004727842192	14.8224592586184	14.7398806284298	14.8513034316759	9.88188709292075	14.6746949539981	HMDB0006773	ko00140
10	11beta-Hydroxytestosterone	12.6783399487024	12.7292764348715	12.8806558005545	12.1693010561765	13.1133292312178	13.2831717956641	12.6862501171466	12.7121538805493	12.3931030511699	12.5723547431688	HMDB0012533	ko00140
