	C1	C2	C3	C5	C7	C8	B1	B3	B5	B6	B7	B9	FC	FDR	.	log2FC	group	Compounds
Pregn-5-ene-3,20-dione	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	15.2271839002161	14.0287376367881	14.0166165760234	15.8810056351177	15.9154903048659	13.9733436747191	0.000126106547516577	0.00023631460308577	1.93498875120983	-12.9530691964728	Blackrice	Pregn-5-ene-3,20-dione
Isochorismic acid	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	15.9039576776757	10.9349713488961	11.8637643742389	15.1707064609305	14.6843014543368	10.7802284730301	0.000205759869850337	0.0089962893777152	1.80070777369073	-12.2467507443212	Blackrice	Isochorismic acid
Chorismic acid	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	15.6587209757935	10.9072852805938	11.8618580459187	14.9378929232482	14.6355290178118	10.6968556884618	0.000252100205080479	0.00832330197614561	1.8059076559154	-11.9537150877375	Blackrice	Chorismic acid
Homovanillic Acid sulfate (sodium salt)	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	14.6634746132515	14.2283762580132	14.3942710257034	14.6610707227183	13.6031490838331	14.2713790102718	0.00028998542041713	2.78054266547102e-05	1.95073534875623	-11.7517320117943	Blackrice	Homovanillic Acid sulfate (sodium salt)
Silicristin	10.9425844035884	9.90702451360817	8.96915191601084	9.0402663405516	8.48361520848999	8.34410626173745	18.1424290744754	12.604881259926	14.8450843562478	18.4733013900687	18.1213115822166	11.6590891731156	0.000394385847227846	0.0244419369511743	1.63447135987636	-11.3081045988797	Blackrice	Silicristin
Icacine	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	12.9797306043554	11.1757385330151	12.8519834853366	12.1991131684516	12.8099686736751	11.7745011524387	0.00189776208810225	0.000316663408849695	1.93038107906898	-9.04148514363544	Blackrice	Icacine
alpha-Glutamylaspartic acid	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	6.21660610108486	12.2387833423196	9.99845427791219	9.94267985855516	12.0088142363139	11.7842422397089	8.93577497853883	0.00543084784982765	0.00650673123814934	1.82553750274838	-7.5246068392556	Blackrice	alpha-Glutamylaspartic acid
Chrysophanol	7.00392294195176	8.93185566538641	8.58823758384099	8.81524608932074	8.69352583256889	7.24800567151813	13.2620766716397	12.6276420242929	12.3849347352624	13.7752082525489	13.9261649858088	12.6045921584057	0.00805222960526729	0.000103391853422094	1.87388936903761	-6.95639597409462	Blackrice	Chrysophanol
Inosine	11.8459421982104	11.7299396524543	11.2103115730346	11.9274565242042	12.2364347260282	11.6541598375704	16.0978094958734	16.1500674492905	16.826030070401	15.2225157120593	16.9501236706185	16.4227717514578	0.00999831760855728	7.91145652739331e-05	1.91489498790715	-6.64409892797346	Blackrice	Inosine
Hispidol	9.18373754373254	7.55076406642031	7.19778703177171	7.93800379716633	8.56472717129741	7.70508839034513	12.6528820149535	12.0565881446373	11.7016066894727	13.2639573459855	13.5206430052708	12.1598277030592	0.0109738515970132	9.15333617733709e-05	1.8796941000971	-6.5097862187596	Blackrice	Hispidol
