"No.","ID","Name","Match status","Pvalue","Metabolite ID","Metabolites","Sig. Metabolite ID","Sig. Metabolites"
1,"ko01053","Biosynthesis of siderophore group nonribosomal peptides","2 in 17","5.64e-04","C00251; C00885","Chorismicacid; Isochorismicacid","C00251; C00885","Chorismicacid; Isochorismicacid"
2,"ko00360","Phenylalanine metabolism","2 in 45","3.98e-03","C12621; C02137","3-Hydroxycinnamicacid; BenzoylformicAcid","C12621; C02137","3-Hydroxycinnamicacid; BenzoylformicAcid"
3,"ko00130","Ubiquinone and other terpenoid-quinone biosynthesis","2 in 59","6.78e-03","C00251; C00885","Chorismicacid; Isochorismicacid","C00251; C00885","Chorismicacid; Isochorismicacid"
4,"ko00405","Phenazine biosynthesis","1 in 26","0.056","C00251","Chorismicacid","C00251","Chorismicacid"
5,"ko00400","Phenylalanine, tyrosine and tryptophan biosynthesis","1 in 33","0.071","C00251","Chorismicacid","C00251","Chorismicacid"
6,"ko00623","Toluene degradation","1 in 37","0.079","C21167","4-Hydroxy-3-methylbenzoicacid","C21167","4-Hydroxy-3-methylbenzoicacid"
7,"ko01059","Biosynthesis of enediyne antibiotics","1 in 48","0.102","C00251","Chorismicacid","C00251","Chorismicacid"
8,"ko00790","Folate biosynthesis","1 in 56","0.118","C00251","Chorismicacid","C00251","Chorismicacid"
9,"ko00627","Aminobenzoate degradation","1 in 62","0.13","C02137","BenzoylformicAcid","C02137","BenzoylformicAcid"
10,"ko00330","Arginine and proline metabolism","1 in 64","0.134","C03415","N2-Succinyl-L-ornithine","C03415","N2-Succinyl-L-ornithine"
11,"ko00860","Porphyrin and chlorophyll metabolism","1 in 106","0.213","C12147","O-Phospho-L-threonine","C12147","O-Phospho-L-threonine"
