clade_name	WT_M_3_1	WT_M_3_2	WT_M_3_3	WT_M_3_4	WT_M_3_5	WT_M_1_1	WT_M_1_2	WT_M_1_3	WT_M_1_4	WT_F_3_1	WT_F_3_2	WT_F_3_3	WT_F_3_4	WT_F_3_5	WT_F_3_6	WT_F_1_1	WT_F_1_2	WT_F_1_3	WT_F_1_4	WT_F_1_5	WT_F_3_7	W_M_3_8	W_M_3_7	W_M_3_6	W_M_3_5	W_M_3_4	W_M_3_3	W_M_3_2	W_M_3_1	W_M_1_8	W_M_1_7	W_M_1_6	W_M_1_5	W_M_1_4	W_M_1_3	W_M_1_2	W_M_1_1	W_F_3_8	W_F_3_7	W_F_3_6	W_F_3_5	W_F_3_4	W_F_3_3	W_F_3_2	W_F_3_1	W_F_1_8	W_F_1_6	W_F_1_5	W_F_1_4	W_F_1_3	W_F_1_2	W_F_1_1	P_M_3_8	P_M_3_7	P_M_3_6	P_M_3_5	P_M_3_4	P_M_3_3	P_M_3_2	P_M_3_1	P_M_1_8	P_M_1_7	P_M_1_6	P_M_1_5	P_M_1_4	P_M_1_3	P_M_1_2	P_M_1_1	P_F_3_8	P_F_3_7	P_F_3_6	P_F_3_5	P_F_3_4	P_F_3_3	P_F_3_2	P_F_1_7	P_F_1_6	P_F_1_5	P_F_1_4	P_F_1_3	P_F_1_2	P_F_1_1	C_M_1_1	C_M_1_2	C_M_1_3	C_M_1_4	C_M_1_5	C_M_1_6	C_M_1_7	C_M_1_8	C_M_1_9	C_M_1_10	C_M_1_11	C_M_1_12	C_F_1_1	C_F_1_2	C_F_1_3	C_F_1_4	C_F_1_5	C_F_1_6	C_F_1_7	C_F_1_8	C_F_1_9	C_F_1_10	C_F_1_11	C_F_1_12	C_F_1_13	C_F_1_14	B_M_3_1	B_M_3_2	B_M_3_3	B_M_3_4	B_M_3_5	B_M_1_1	B_M_1_2	B_M_1_3	B_M_1_4	B_M_1_5	B_M_1_6	B_M_1_7	B_M_1_8	B_M_1_9	B_M_1_10	B_M_1_11	B_M_1_12	B_F_3_1	B_F_3_2	B_F_3_3	B_F_3_4	B_F_3_5	B_F_3_6	B_F_3_7	B_F_3_8	B_F_1_1	B_F_1_2	B_F_1_3	B_F_1_4	B_F_1_5	B_F_1_6	B_F_1_7	B_F_1_8	B_F_1_9	B_F_1_10	B_F_1_11	C_M_3_1	C_M_3_2	C_M_3_3	C_M_3_4	C_M_3_5	C_M_3_6	C_M_3_7	C_M_3_8	C_F_3_1	C_F_3_2	C_F_3_3	C_F_3_4	C_F_3_5	C_F_3_6	C_F_3_7	C_F_3_8
Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2304	0	0	0	0	1125	498	0	0	0	0	0	2777	371	0	1050	533	577	0	470	1169	0	0	0	0	798	1362	1581	1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5882	0	0	0	0	0	0	0	0	0	0	696	0	0	0	0	0	0	0	1945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_pseudolongum	3010069	146763	2468941	134649	98279	631839	693753	625262	162692	44145	139344	323646	42448	71637	429026	699905	2921	60	73569	1112	136557	5533	13810	29575	25324	421	411517	69458	29939	430781	507950	24223	100600	94307	97247	128272	12099	17860	526032	68114	38414	69112	467199	137272	194572	36310	162329	19383	40530	136639	119975	29126	32661	1567	140137	6944	51127	82508	52275	21923	50521	209146	1138526	150013	145938	36895	126925	240766	342413	64323	214687	89727	640755	208538	470355	315162	25273	615333	547111	206239	306942	222598	6527	30210	858	5632	720	1090	9297	20051	14728	8306	5867	8222	140902	17017	70577	2806	18604	11559	12841	25765	99823	30407	53077	6481	17037	5549	6850	77367	13690	27934	29667	737292	714292	6932	97511	31966	25219	15467	30367	264800	44476	25773	190968	96910	59528	35006	97707	56848	42355	147574	15963	52217	6612	8057	50648	8975	1498	22176	7100	115921	4433	242981	1942	131	32056	16682	7402	7826	5717	9365	1133	328	870	12768	733	109964	15322	1171
Gardnerella_vaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_amycolatum	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_glutamicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_stationis	0	0	0	0	0	339	1471	458	0	0	0	0	0	177765	217562	2377	28349	27208	16296	13742	45028	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	543	0	0	0	0	0	1372	0	0	0	0	0	2589	0	268	0	0	3453	262	0	0	0	0	9854	1003	3214	0	0	0	0	0	0	8559	0	0	0	0	0	0	0	0	1030	0	0	0	2441	0	3016	0	11162	10504	0	2034	5473	4480	0	5730	0	0	0	6901	0	0	0	4061	0	0	0	0	0	0	3046	14400	0	13859	11198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1468	0	8802	0	198	0	1421	748	0	19470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobium_deltae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0
Atopobium_vaginae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olsenella_profusa	0	0	0	0	0	0	0	0	0	0	0	27	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	139	110	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	54	55	0	0	240	133	28	268	28	0	28	304	188	415	0	457	0	314	0	190	0	28	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	133	160	0	54	295	55	0	0	0	0	55	0	0	0	0
