clade_name	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_22w	WT_M_14w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_14w	W_M_22w	W_M_22w	W_M_14w	W_M_14w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_14w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_22w	W_F_14w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_14w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_22w	W_F_14w	P_M_22w	P_M_14w	P_M_22w	P_M_14w	P_M_14w	P_M_22w	P_M_14w	P_M_14w	P_M_22w	P_M_22w	P_M_22w	P_M_14w	P_M_22w	P_M_14w	P_M_22w	P_F_22w	P_F_22w	P_F_14w	P_F_14w	P_F_22w	P_F_14w	P_F_14w	P_F_22w	P_F_14w	P_F_22w	P_F_14w	P_F_22w	P_F_14w	P_F_22w	P_F_22w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_14w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_22w	C_M_22w	C_F_22w	C_F_14w	C_F_22w	C_F_14w	C_F_22w	C_F_14w	C_F_14w	C_F_22w	C_F_14w	C_F_14w	C_F_22w	C_F_14w	C_F_22w	B_M_22w	B_M_14w	B_M_14w	B_M_22w	B_M_14w	B_M_22w	B_M_22w	B_M_22w	B_M_14w	B_M_22w	B_M_14w	B_M_14w	B_M_22w	B_M_14w	B_M_22w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_14w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_22w
Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_mongoliense	0.00317	0.01137	0.01636	0.00409	0	0	0	0.05498	0	0	0.00561	0	0	0	0	0	0.03166	0	0	0.00646	0	0	0.00027	0	0.00285	0.01934	0.04265	0	0.02123	0	0.00066	0	0	0.00218	0	0	0.01682	0	0	0	0	0.02036	0	0	0	0	0	0.01525	0	0.00453	0	0.00487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_pseudolongum	0.2322	0.09219	0.29752	0.06222	0.73222	0.43026	13.45564	0.40152	0.42576	0.20503	0.1635	0.23653	1.75581	1.7558	0.44759	12.48899	0.29987	0.42393	0.9098	0.07745	0.46684	0.70941	0.00722	0.93747	0.34718	0.16964	0.68821	0.24934	0.97017	2.93541	0.04283	0.16576	1.58429	0.11146	0.41459	1.98277	0.53123	0.30967	0.34322	0.37299	0.6023	0.35558	0.59228	0.47362	0.01824	0.07121	1.78457	0.1303	2.36202	0.07263	0.06351	0.23419	1.07097	0	1.10687	0.45808	1.76206	2.05022	4.69147	4.23106	4.55194	0.54222	0.10915	4.15405	0.05181	5.00612	3.6782	0	1.15384	1.48517	1.29678	0.08514	0.04873	3.68356	5.44867	2.83474	7.33999	0.26872	6.64122	0.31663	2.50303	3.79746	0.07962	1.89452	0.03488	1.24556	0.44839	0.17982	1.07877	0.89164	0.00658	0.22786	0.01033	1.04994	1.26773	0.67304	0.10473	2.88282	6.72432	1.05922	2.4293	1.40673	5.52045	4.83799	3.35077	2.28146	2.31967	1.70312	2.46308	1.61157	3.72459	2.5984	0.28822	0.02732	0.60591	0.23784	0.21006	1.99888	0.0881	0.34097	0.0539	1.27086	0.66221	0.05985	0.03933	0.29384	0.52204	0.1345	0.22406	0.3488	0.20258	0.05499	0.12503	0.05679	0.49198	0.09395	0	0.91507	1.57605	0.045	2.13608	0.11235	1.36806	1.30898	4.16535	0.3589	2.12647	0.1238	0.1133	0.34531	2.32068	0	0.00113	1.88472	1.33388	0.02423	0.56442	0.99745	4.48502	0.24828	3.98235	1.54334	0.28963	0.10302	0.1421	1.7727	1.5571	0.4948	0	0.32633	0.49625	0.63583	0.54919	0.74537	1.05057	0.01916	0.17559	0.42718	0.11262
Corynebacterium_amycolatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_stationis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04769	0	0	0	0.6451	0	0.55521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00871	0	0	0	0	0.08416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02519	0	0	0.00331	0	0	0	0	0	0	0	0	0	0.00046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0055	0	0.00657	0	0	0.04316	0	0	0	0	0.23419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49214	0	0.03025	0	0	0	0	0.00492	0	0.0746
Olsenella_profusa	0	0	0	0	0.00058	0.00033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00098	0	0	0	0	0	0	0.00042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olsenella_scatoligenes	0	0	0	0	0.01772	0.0075	0.00427	0	0.00312	0.00788	0	0.0113	0.0079	0.0079	0.00754	0.00685	0	0.00314	0.00458	0	0.00295	0.00066	0	0.00256	0	0.00021	0.00327	0.00242	0.00043	0.00736	0	0.00217	0.00721	0.00117	0.00139	0.00427	0.00762	0.00126	0.00805	0	0.0036	0.00318	0.00883	0.00708	0	0.00411	0.01126	0	0.00529	0.00071	0.0028	0.00413	0	0	0	0.00239	0.00794	0	0.00427	0	0.00506	0	0	0.00953	0	0.00614	0	0	0.00235	0.00425	0	0	0	0.00141	0.00562	0	0.00558	0	0.00646	0	0.00177	0	0	0.00123	0	0.00159	0.0038	0	0.00465	0.0018	0	0	0	0.00168	0	0.00189	0	0	0	0.00826	0.01315	0	0.00125	0.00143	0	0.00585	0.00051	0	0	0.00111	0	0	0	0	0.00823	0	0.0008	0.01749	0.0037	0	0.00036	0	0.00937	0.00095	0.00154	0.0043	0.00659	0.00042	0.00248	0.00707	0.00064	0	0.00038	0.01145	0.00037	0	0	0	0.01861	0	0.02314	0.00687	0.01117	0.0051	0.02073	0.00931	0.01205	0.00482	0.00396	0	0	0	0.00127	0	0	0	0	0	0.00109	0	0.00132	0	0.00116	0	0.00064	0	0	0	0	0	0.00023	0	0	0	0	0	0	0	0
Collinsella_aerofaciens	0	0	0	0	0.00141	0	0.0013	0	0	0.00046	0	0	0	0	0	0.00152	0	0	0.00052	0	0	0	0	0.00042	0	0	0	0	0	0	0	0	0.00071	0	0	0	0	0	0.00147	0	0	0	0.00122	0	0	0.00054	0.00088	0	0	0	0	0	0	0	0	0	0.00052	0	0	0	0	0.00074	0	0.00113	0	0	0	0	0	0.00051	0	0	0	0	0	0	0.00037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00131	0	0	0	0	0.00065	0	0	0	0	0	0	0	0	0.00102	0	0.00031	0	0.00066	0	0	0	0	0	0	0	0	0	0	0.00061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00281	0	0.00054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_intestinalis	0	0	0	0	0.00295	0.00099	0.00028	0	0.00036	0.00038	0	0.00095	0.00183	0.00183	0	0	0	0	0	0	0	0	0	0	0	0	0.00116	0	0	0.00135	0	0.00096	0.00121	0	0	0	0	0	0.00083	0	0.00046	0	0.00051	0	0	0	0.00077	0	0	0	0	0	0	0	0	0.00064	0.00085	0	0	0	0.00091	0	0	0	0	0.00044	0	0	0	0	0	0	0	0	0	0	0.00062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00045	0.00186	0	0	0	0	0.00055	0	0	0	0	0	0	0	0	0	0	0	0.00462	0	0	0	0	0.00049	0	0	0	0	0	0	0.00104	0	0	0	0	0	0	0	0	0	0	0	0.0007	0.0022	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_stercoris	0	0	0	0	0.00082	0.00022	0	0	0	0.00026	0	0.00063	0.00056	0.00056	0	0.00078	0	0	0	0	0	0	0	0.00023	0	0	0.00222	0.00065	0	0.00164	0	0	0.00097	0	0	0.00062	0.00098	0	0.00259	0	0	0.00069	0.00034	0	0	0	0.00103	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0.00058	0	0	0.00061	0	0.00056	0	0	0	0	0	0	0	0	0	0	0.0004	0	0.0002	0	0	0	0	0	0	0.00085	0.0024	0	0.00154	0	0	0	0	0	0	0	0	0	0	0.0003	0.00201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00141	0	0	0	0.00103	0	0	0	0	0	0	0.00149	0	0	0.00031	0.00152	0	0	0	0	0	0	0.00429	0.00194	0.00074	0	0	0.00034	0.0003	0	0.00083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_massiliensis	0	0	0	0	0.019	0.01339	0.00393	0	0.00299	0.01068	0	0.01148	0.00862	0.00862	0.00865	0.00653	0	0.00325	0.00318	0	0.00464	0.00084	0	0.00363	0	0	0.00439	0.00453	0.00208	0.00966	0	0.00303	0.01069	0.00034	0.00297	0.00598	0.00687	0.0016	0.01151	0.00036	0.0039	0.00232	0.00533	0.00753	0	0.00317	0.01173	0	0.00905	0.00035	0.00277	0.00585	0	0	0.00223	0.00111	0.00873	0	0.00478	0	0.00504	0.00206	0	0.01031	0	0.00698	0	0	0.00216	0.00498	0	0.00061	0	0.00141	0.00279	0	0.00583	0	0.00608	0	0	0	0	0.00272	0	0.00412	0.00382	0	0.00302	0.00134	0	0	0	0.00263	0	0.00046	0	0	0	0.01202	0.01877	0	0.00053	0.00267	0	0.00518	0.00058	0	0	0.00343	0	0	0	0	0.00567	0	0.00034	0.0229	0.00501	0.00041	0	0	0.01908	0.00065	0.00076	0.00277	0.00755	0.0035	0.00193	0.00689	0	0	0.00121	0.0125	0	0.0002	0	0.00377	0.01011	0.00043	0.0246	0.00546	0.01086	0.01007	0.01324	0.00892	0.01412	0.00382	0.0079	0.00211	0.00098	0.00072	0.00206	0	0	0	0	0	0.00137	0	0.00302	0.00075	0.00192	0	0.00123	0	0.00109	0	0	0	0.00035	0	0	0.00068	0	0	0	0	0
Enorma_massiliensis	0	0	0	0	0.00437	0.00129	0.00053	0	0.00033	0.00509	0	0.0048	0.00779	0.00779	0.00303	0.00472	0	0.00132	0.00079	0	0.00132	0	0	0.00033	0	0	0.00046	0.00136	0	0	0	0	0.00367	0.00039	0.00046	0.00328	0.00375	0	0.00364	0	0.0004	0	0.00253	0.00312	0	0.00159	0.00379	0	0.00169	0	0.00024	0.00043	0	0	0	0	0.00127	0	0.00299	0	0.00231	0	0	0.00257	0	0.00078	0	0	0.0005	0.00177	0	0	0	0	0.0015	0	0.0019	0	0.0003	0	0	0	0	0.00027	0	0	0	0	0.0012	0	0	0	0	0.00084	0	0	0	0	0	0.00412	0.00385	0	0	0.00097	0	0.00255	0	0	0	0	0	0	0	0	0.00199	0	0	0.00829	0	0	0	0	0.00443	0.00035	0	0.00234	0	0	0	0.0005	0	0	0	0.00637	0	0	0	0	0.00397	0	0.006	0.0032	0	0	0.00654	0.00459	0.0038	0.0019	0.00117	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia_equolifaciens	0.00402	0	0.00339	0.0008	0.00734	0.00668	0.00131	0	0.00366	0.00113	0.00018	0.00188	0.0004	0.0004	0.00775	0.00141	0.00749	0.00759	0.00186	0	0.00402	0.00078	0	0.00288	0.00163	0.00049	0.02402	0.00318	0.00065	0.0042	0	0.00412	0.00204	0	0.00842	0.00325	0	0.00324	0.00426	0.00396	0.00436	0	0.00634	0.00706	0	0.00125	0.00436	0	0.00499	0	0.0029	0	0.00468	0.00365	0.01027	0.007	0.00318	0.01234	0.00567	0.02506	0.00296	0.00496	0.00469	0.00325	0.00723	0.00973	0.01302	0.00668	0.00331	0.0024	0	0.00611	0.0302	0.00086	0.00279	0	0.00226	0.00053	0.00541	0.00408	0	0.00597	0	0.00129	0.01463	0	0.0114	0	0.00576	0.00172	0.0117	0	0.02679	0.00039	0	0	0	0	0	0.00279	0.00352	0	0.00242	0.00188	0.00351	0.00178	0	0.00053	0	0	0.00575	0.00079	0.00213	0	0.00639	0.00542	0.00659	0.00729	0.0076	0.00198	0.00092	0.00175	0.00075	0.00108	0.0019	0.00291	0.00535	0.0028	0	0.00298	0.00337	0.00041	0.00439	0.00076	0.00692	0.00242	0.00258	0.00454	0.01167	0.00228	0.01204	0.00063	0.01184	0.00827	0.02417	0.0046	0.00434	0	0.00506	0	0.04304	0.00066	0.04544	0.02475	0.00111	0.00339	0.04103	0.00686	0.00368	0.00655	0.00439	0.00051	0.01436	0.04015	0.02184	0.0298	0.00184	0.01396	0.00185	0.25171	0.0042	0.02274	0.00027	0.00247	0.01123	0.00024	0.00697	0.00784	0.04732
