clade_name	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_22w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_22w	WT_M_14w	WT_M_22w	WT_F_22w	WT_F_22w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_22w	WT_F_14w	WT_F_14w	WT_F_22w	WT_F_22w	WT_F_14w	W_M_22w	W_M_22w	W_M_14w	W_M_14w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_14w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_14w	W_M_22w	W_M_22w	W_F_14w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_14w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_14w	W_F_22w	W_F_22w	W_F_14w	P_M_22w	P_M_14w	P_M_22w	P_M_14w	P_M_14w	P_M_22w	P_M_14w	P_M_14w	P_M_22w	P_M_22w	P_M_22w	P_M_14w	P_M_22w	P_M_14w	P_M_22w	P_F_22w	P_F_22w	P_F_14w	P_F_22w	P_F_14w	P_F_14w	P_F_14w	P_F_22w	P_F_14w	P_F_22w	P_F_22w	P_F_14w	P_F_14w	P_F_22w	P_F_22w	C_M_22w	C_M_14w	C_M_14w	C_M_22w	C_M_22w	C_M_14w	C_M_22w	C_M_14w	C_M_14w	C_M_14w	C_M_22w	C_M_14w	C_M_22w	C_M_14w	C_M_22w	C_F_22w	C_F_14w	C_F_22w	C_F_22w	C_F_14w	C_F_14w	C_F_14w	C_F_22w	C_F_14w	C_F_14w	C_F_22w	C_F_14w	C_F_22w	B_M_22w	B_M_14w	B_M_14w	B_M_22w	B_M_14w	B_M_22w	B_M_22w	B_M_22w	B_M_14w	B_M_22w	B_M_14w	B_M_14w	B_M_22w	B_M_14w	B_M_22w	B_F_22w	B_F_14w	B_F_22w	B_F_22w	B_F_14w	B_F_14w	B_F_22w	B_F_14w	B_F_14w	B_F_22w	B_F_14w	B_F_22w	B_F_14w	B_F_22w
Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_pseudolongum	76404	80209	3010069	146763	32948	15274	242043	242043	29448	2468941	15353	134649	36703	98279	44145	139344	10659	323646	48125	23146	51058	42448	81558	71637	39251	10167	429026	136557	13045	92247	0	74020	47064	252657	138620	772730	313747	617072	54059	7124	532620	4766	705410	424414	0	123175	217116	63492	10488	3047	302225	594640	318629	1485805	45306	1330415	12849	95524	374764	17218	381861	5279	106830	26622	49168	152991	75525	756	25652	1532	143795	143709	57400	18917	316578	159810	146122	128535	398724	402361	749297	265196	245869	317584	163977	63436	131116	391578	239450	46834	87453	106495	31381	245516	80008	5892	27482	28721	7546	83407	14261	14824	4250	17757	18316	65581	7877	19702	77893	76509	39824	213169	44333	286348	19941	5430	18740	263035	0	165	230735	109718	4679	74542	203611	638088	23532	346831	161431	28650	17347	26179	82696	162511	38284	19798	0	52319	21907	76805	83565	61799	1455	11621	41391	8605
Corynebacterium_amycolatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_stationis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177765	0	0	217562	45028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1373	0	0	0	0	4505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1349	1615	0	0	0	3098	0	0	0	0	17829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41885	0	0	1462	0	0	0	0	456	0	7996
Olsenella_profusa	82	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olsenella_scatoligenes	2260	1708	1167	1314	1548	892	1330	1330	606	1656	138	828	283	111	522	426	170	1799	196	114	1463	0	595	1305	717	716	3307	373	702	0	0	0	300	1391	0	859	0	838	0	0	1493	0	1057	0	0	306	760	0	0	0	141	749	0	1380	0	1582	0	82	0	0	303	0	166	275	0	806	186	0	0	0	281	0	197	0	0	0	1392	0	2637	111	270	0	770	85	0	0	110	0	0	219	1452	1139	0	0	1383	281	491	443	28	2065	55	55	1047	0	0	946	0	1471	1031	763	189	1296	1406	1982	948	232	0	0	0	227	0	0	0	0	0	189	0	140	0	139	0	144	0	0	0	0	0	29	0	0	0	0	0	0	0	0
Collinsella_aerofaciens	159	0	313	0	79	0	0	0	0	326	0	83	0	0	0	0	0	156	0	0	236	0	0	159	0	83	229	0	0	0	0	0	0	80	0	0	0	0	79	0	156	0	0	0	0	0	81	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	76	0	0	0	0	0	0	75	159	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	155	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_intestinalis	286	172	57	116	57	57	235	235	0	0	0	0	0	0	0	59	57	229	0	0	114	0	57	57	0	0	172	0	0	0	0	0	61	113	0	0	0	115	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	285	0	0	0	55	0	0	0	0	0	0	0	0	229	0	0	55	0	0	0	0	232	0	0	0	0	0	0	0	114	0	114	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_stercoris	104	50	0	0	50	49	94	94	0	189	0	0	0	0	140	95	0	241	0	0	471	0	0	50	0	0	303	0	99	0	0	0	0	0	0	0	0	96	0	0	95	0	96	0	0	0	0	0	0	0	0	0	0	99	0	49	0	0	0	0	0	0	89	174	0	267	0	0	0	0	0	0	0	0	0	0	50	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	436	0	44	139	0	0	0	0	416	191	50	0	0	50	49	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_massiliensis	2287	2878	1012	1188	1978	855	1370	1370	656	1488	135	542	421	135	924	528	224	2517	397	137	1975	46	609	744	719	521	3252	603	656	0	0	171	131	1444	0	907	0	787	236	0	1524	0	1135	0	0	265	839	0	87	0	133	351	0	1360	0	1405	0	0	0	0	631	0	407	261	0	493	130	0	0	0	415	0	45	0	0	0	1912	0	3553	44	476	0	643	90	0	0	322	0	0	86	944	1407	43	0	2658	131	299	479	226	1901	0	165	1079	42	87	485	87	1105	1034	700	353	781	1270	2193	709	436	132	128	134	347	0	0	0	0	0	224	0	303	90	218	0	260	0	131	0	0	0	42	0	0	87	0	0	0	0	0
