clade_name	C	C	C	C	C	B	B	B	B	B	B
Bifidobacterium_animalis	0	0	0	0	0	0.01346	0.01532	0.02801	0.01574	0.0276	0.00146
Bifidobacterium_pseudolongum	3.71908	3.02788	3.2787	6.98104	4.91303	4.89758	1.35857	5.15353	4.03655	2.03587	3.97044
Adlercreutzia_equolifaciens	0.06756	0.14805	0.09345	0.0668	0.12586	0.01431	0.02541	0.04968	0.02228	0.04658	0.01346
Asaccharobacter_celatus	0.02264	0.06571	0.04515	0.02816	0.06393	0.01365	0.01609	0.0288	0.02052	0.03128	0.01082
Enterorhabdus_caecimuris	0.10212	0.21593	0.15741	0.21403	0.30627	0.45487	0.38055	0.50251	1.11497	0.74194	0.4166
Gordonibacter_pamelaeae	0	0.00018	0	0	0	0	0	0.00045	0.00015	0	0
Bacteroides_caecimuris	0.08053	0.09901	0.04157	0.47013	0.09892	0.95585	0.06808	0.79126	0.51984	0.20092	0.46892
Bacteroides_fragilis	0	0	0.0013	0	0	0	0	0	0	0	0
Bacteroides_intestinalis	0.05793	0.06178	0.04846	0.06968	0.13104	0.02132	0.00855	0.03159	0.04056	0.04544	0.01166
Bacteroides_massiliensis	0.68859	1.5292	0.91541	1.01195	0.48872	0.30619	0.0791	0.42885	0.55624	0.02634	0.24027
Bacteroides_sartorii	2.2091	5.2827	0.74358	2.34445	2.97345	0	0	0	0	0	0
Bacteroides_stercorirosoris	1.78331	0.63501	1.01512	2.78707	1.76059	0.14004	0.27907	1.18306	0.49721	0.78041	0.09835
Bacteroides_thetaiotaomicron	0	0	0	0	0	1.80563	1.83153	1.11777	2.09885	2.41824	1.34738
Bacteroides_uniformis	1.58513	0.66188	0.18142	0.07626	0.17253	3.49949	1.18921	4.51375	3.26405	5.51764	2.7758
Bacteroides_vulgatus	29.37333	16.46728	26.0332	11.62536	11.53642	13.26298	19.78703	25.7325	10.14124	2.93051	10.07082
Muribaculaceae_bacterium_DSM_103720	0.28106	0.32361	0.2844	0.04539	0.46827	11.75866	4.06878	21.50913	17.71138	16.79259	13.26973
Muribaculum_intestinale	0.10742	0.03802	0.04385	0.45347	0.52751	3.19217	0.46477	1.9704	0.96388	4.46277	3.51424
Butyricimonas_virosa	0.17768	0.69094	0.05672	0.35729	0.84955	1.75372	0.76053	0.74508	2.40563	6.31646	1.54912
Prevotella_sp_MGM1	14.99187	0.00352	14.86179	0.17739	10.74576	0	0	0	0	0	0
Prevotella_sp_MGM2	2.50139	4.65516	5.45123	1.16727	4.40529	0	0	0	0	0	0
Alistipes_indistinctus	1.38295	1.45179	1.73935	1.38015	1.03674	0.18922	0.25197	0.79205	0.27797	0.896	0.14878
Alistipes_shahii	0.00966	0.01635	0.01384	0.01803	0.02204	0.02198	0.01713	0.03307	0.02974	0.05809	0.01558
Alistipes_timonensis	0.8837	1.24144	1.12623	1.41085	1.77804	0.41163	0.29744	0.72253	0.79757	1.30658	0.32264
Parabacteroides_distasonis	1.29735	3.19507	4.21368	0.74202	0.44653	0	0	0	0	0	0
Parabacteroides_goldsteinii	0.04187	0.01874	0.02666	0.04008	0.03102	0.02953	0.0102	0.02507	0.04647	0.08023	0.02386
Parabacteroides_johnsonii	0.19435	0.17807	0.19952	0.04605	0.07776	0.02605	0.02452	0.00338	0.09202	0.05962	0.01676
Parabacteroides_merdae	0.02593	0.03186	0.02724	0.04276	0.04588	0.00216	0.00198	0.00969	0.00701	0.00439	0.00214
Mucispirillum_schaedleri	0.1062	0.06518	0.01406	0.81838	0.23201	0	0.00186	0	0	0	0
Staphylococcus_sciuri	0.00092	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecalis	0	0	0	0	0	0.00997	0	0.00013	0.0008	0	0.01389
Lactobacillus_intestinalis	0.15488	0.08594	0.19703	0.23865	0.11488	0.00115	0	0	0	0	0
Lactobacillus_johnsonii	0.13919	0.11824	0.13576	0.12242	0.35459	0.10327	0.00544	0.0009	0.04757	1.03112	0.03054
Lactobacillus_murinus	0.29798	0.49045	0.26562	1.45649	3.44081	0.76888	1.2195	0.46989	10.71031	0.6544	0.3467
Lactobacillus_reuteri	1.67293	2.6529	3.21744	4.00216	2.17889	0.74105	0.01133	0.01611	1.70382	1.57102	0.29299
Lactobacillus_taiwanensis	0.0072	0	0	0	0	0	0	0	0	0	0
Clostridium_sp_ASF356	0.00539	0.00408	0.0025	0.01117	0.01828	0.01783	0.03212	0.00376	0.00914	0.10275	0.02586
Clostridium_sp_ASF502	0.00237	0.02943	0.01447	0.07697	0.33267	0.59285	0.3638	0.0246	1.34964	0.69654	1.00207
Anaerofustis_stercorihominis	0	0	0	0	0	0	0.01615	0.02541	0	0	0
Eubacterium_sp_14_2	0.03749	0.03998	0.0128	0.0629	0.1759	0.04507	0.00427	0.00927	0.01445	0.01979	0.05796
Acetatifactor_muris	0	0	0	0.01217	0.00544	0.31881	0.12295	0.02613	0.69153	0.49803	0.59021
Dorea_sp_5_2	0.40316	2.08493	0.83227	1.66309	1.2366	0.40674	1.01501	0.16589	0.77939	2.53664	0.52699
Clostridium_symbiosum	0	0.01075	0	0	0	0	0	0	0	0	0
Lachnospiraceae_bacterium_10_1	0.26239	0.00466	0.01229	2.77881	0.07462	0.01353	0	0	0	0.00247	0.03209
Lachnospiraceae_bacterium_28_4	0	0	0	0.0031	0	0	0	0	0	0.00503	0
Lachnospiraceae_bacterium_3_1	0.00115	0.01149	0.00036	0.0092	0.00879	0.007	0.00483	0.00105	0.01922	0.0165	0.00995
Lachnospiraceae_bacterium_3_2	0	0.02651	0	0	0	0.01218	0.03424	0.01684	0.06659	0.06288	0.01695
Lachnospiraceae_bacterium_A2	0.0005	0	0	0.21204	0	0.14893	0.02682	0.00016	0.04857	0.15289	0.25134
Lachnospiraceae_bacterium_A4	0.07176	0.06955	1.63647	0.00981	0.07941	0.02416	0.0778	0	0	0.01553	0.03718
Lachnospiraceae_bacterium_COE1	0	0	0	0.00443	0	0.1073	0.00124	0.01478	0.57082	0	0.23094
Lachnospiraceae_bacterium_M18_1	0.52049	0.22626	1.21713	0.61939	0.25185	0.53375	0.07875	0.03342	0.51675	0.12386	0.66172
Oscillibacter_sp_1_3	0.0732	0.62448	0.04244	0.07668	0.15046	0.28563	0.18139	0.01056	0.46153	0.26432	0.51714
Romboutsia_ilealis	0	0	0.00321	0.00069	0	0	0	0	0.00075	0	0
Acutalibacter_muris	0.00519	0.0197	0.00333	0.00488	0.01914	0.00248	0.00149	0	0.00213	0.03635	0.00345
Anaerotruncus_sp_G3_2012	0.07127	0.25784	0.11466	0.26159	0.643	0.08805	0.20068	0.07092	0.26546	0.57105	0.18311
Clostridium_leptum	0	0	0	0	0.00094	0	0	0	0	0	0
Clostridium_methylpentosum	0.00168	0.0048	0.00778	0.01178	0.00873	0	0.00109	0.00014	0	0	0
Ruthenibacterium_lactatiformans	0.02304	0.04946	0.06461	0.11977	0.21087	0.17397	0.26214	0.01004	0.10627	0	0.10937
Dubosiella_newyorkensis	0.25629	0.3749	0.32651	0.58098	0.33958	1.88892	1.09315	4.45983	1.63922	2.18409	0.95703
Clostridium_cocleatum	0.34021	0.45393	0.32495	0.87667	0.43035	0.08854	0.15954	0.04931	0.0827	0.03989	0.0739
Faecalibaculum_rodentium	1.55236	1.76225	1.80181	3.67826	2.01194	1.34331	0.5946	4.62517	3.25649	2.18703	0.7085
Ileibacterium_valens	0	0.05945	0.02485	0.00794	0.01662	0.01906	0.00334	0.00985	0.00442	0.01578	0.00517
Firmicutes_bacterium_ASF500	0.00388	0.1474	0.10607	0.02223	0.02465	0.09715	0.17202	0.04948	0.14737	0.51276	0.10401
Turicimonas_muris	8.12612	9.11568	9.07403	7.49145	8.19636	3.24088	2.47311	9.17862	7.31242	9.41304	3.56453
Desulfovibrionaceae_bacterium	0.00066	0.00152	0.00159	0	0.00779	0	0.00141	0.01542	0.00103	0.00367	0.00026
Helicobacter_japonicus	7.98812	5.92073	1.84552	14.70848	10.75672	24.23189	8.72004	3.85223	6.33802	8.79435	32.59766
Escherichia_coli	0	0	0	0	0	0.01164	0	0	0	0	0.28514
Fretibacterium_fastidiosum	0	0	0	0.00164	0	0	0.00069	0	0	0.00109	0
Akkermansia_muciniphila	16.28943	35.24832	18.10112	28.50006	25.67294	21.90551	52.18337	11.48792	19.19371	23.70765	18.4745
