clade_name	C6_1_kneaddata_modify_count	C5_1_kneaddata_modify_count	C4_1_kneaddata_modify_count	C3_1_kneaddata_modify_count	C2_1_kneaddata_modify_count	C1_1_kneaddata_modify_count	B6_1_kneaddata_modify_count	B5_1_kneaddata_modify_count	B4_1_kneaddata_modify_count	B3_1_kneaddata_modify_count	B2_1_kneaddata_modify_count	B1_1_kneaddata_modify_count
Bifidobacterium_animalis	0	0	0	0	0	0	2042.0	2538.0	5678.0	1970.0	2902.0	156.0
Bifidobacterium_pseudolongum	473604.0	332857.0	331703.0	506920.0	425125.0	445767.0	775075.0	234912.0	1089918.0	527233.0	223279.0	443171.0
Olsenella_scatoligenes	0	0	0	0	29.0	0	0	0	0	0	0	0
Collinsella_massiliensis	0	0	0	0	86.0	0	0	0	0	0	0	0
Adlercreutzia_equolifaciens	12869.0	24346.0	14142.0	7256.0	21623.0	17082.0	3388.0	6572.0	15715.0	4353.0	7641.0	2247.0
Asaccharobacter_celatus	4027.0	10091.0	6381.0	2856.0	8090.0	8103.0	3017.0	3887.0	8509.0	3745.0	4792.0	1687.0
Enterorhabdus_caecimuris	17868.0	32617.0	21882.0	21354.0	37284.0	38183.0	98915.0	90417.0	146031.0	200108.0	111808.0	63894.0
Gordonibacter_pamelaeae	0	32.0	0	0	0	0	0	0	161.0	33.0	0	0
Bacteroides_caecimuris	24464.0	25964.0	10033.0	81437.0	23463.0	21410.0	360857.0	28083.0	399204.0	161975.0	52565.0	124859.0
Bacteroides_fragilis	0	0	342.0	0	0	0	0	0	0	0	0	0
Bacteroides_intestinalis	22096.0	20344.0	14684.0	15156.0	406.0	35614.0	10108.0	4429.0	20010.0	15868.0	14926.0	3896.0
Bacteroides_massiliensis	201634.0	386547.0	212953.0	168966.0	286491.0	101962.0	111420.0	31448.0	208554.0	167061.0	6641.0	61667.0
Bacteroides_sartorii	760755.0	1570449.0	203435.0	460373.0	1024389.0	729573.0	0	0	0	0	0	0
Bacteroides_stercorirosoris	704483.0	216553.0	318588.0	627815.0	858485.0	495543.0	68751.0	149694.0	776176.0	201463.0	265513.0	34053.0
Bacteroides_thetaiotaomicron	0	0	0	0	0	0	895021.0	991933.0	740431.0	858652.0	830691.0	471050.0
Bacteroides_uniformis	473726.0	170757.0	43073.0	12995.0	7105.0	36737.0	1299721.0	482578.0	2240318.0	1000536.0	1420149.0	727117.0
Bacteroides_vulgatus	9291152.0	4496517.0	6542023.0	2096823.0	4479671.0	2599953.0	5213612.0	8498491.0	13517815.0	3290175.0	798319.0	2792115.0
Muribaculaceae_bacterium_DSM_103720	57901.0	57550.0	46546.0	5331.0	14872.0	68732.0	3010430.0	1138148.0	7359034.0	3742431.0	2979369.0	2396094.0
Muribaculum_intestinale	22385.0	6839.0	7260.0	53888.0	258077.0	78327.0	826746.0	131518.0	681973.0	206033.0	800990.0	641932.0
Butyricimonas_virosa	54117.0	181669.0	13725.0	62053.0	82294.0	184361.0	663811.0	314530.0	376891.0	751526.0	1656895.0	413563.0
Prevotella_sp_MGM1	2788067.0	565.0	2195770.0	18811.0	209628.0	1423845.0	0	0	0	0	0	0
Prevotella_sp_MGM2	454244.0	729761.0	786450.0	120870.0	661382.0	569981.0	0	0	0	0	0	0
Alistipes_indistinctus	248874.0	225535.0	248673.0	141625.0	64825.0	132929.0	42317.0	61571.0	236720.0	51308.0	138866.0	23467.0
Alistipes_shahii	1883.0	2752.0	2144.0	2004.0	1915.0	3061.0	5325.0	4536.0	10709.0	5948.0	9753.0	2662.0
Alistipes_timonensis	194313.0	235646.0	196740.0	176896.0	235856.0	278560.0	112484.0	88805.0	263854.0	179878.0	247429.0	62181.0
Parabacteroides_distasonis	415885.0	884167.0	1073115.0	135635.0	87065.0	101986.0	0	0	0	0	0	0
Parabacteroides_goldsteinii	17891.0	6914.0	9051.0	9766.0	26832.0	9445.0	15682.0	5915.0	17792.0	20368.0	29524.0	8936.0
Parabacteroides_johnsonii	56610.0	44774.0	46169.0	7648.0	21787.0	16137.0	9429.0	9697.0	1637.0	27491.0	14956.0	4279.0
Parabacteroides_merdae	7154.0	7588.0	5971.0	6728.0	7969.0	9019.0	739.0	741.0	4439.0	1983.0	1043.0	518.0
Mucispirillum_schaedleri	15626.0	8279.0	1643.0	68661.0	45096.0	24322.0	0	372.0	0	0	0	0
Staphylococcus_sciuri	163.0	0	0	0	1288.0	0	0	0	0	0	0	0
Enterococcus_faecalis	0	0	0	0	0	0	2356.0	0	41.0	156.0	0	2313.0
Lactobacillus_intestinalis	19617.0	9397.0	19826.0	17237.0	17664.0	10367.0	180.0	0	0	0	0	0
Lactobacillus_johnsonii	17020.0	12481.0	13188.0	8535.0	26443.0	30892.0	15692.0	902.0	182.0	5966.0	108586.0	3273.0
Lactobacillus_murinus	41942.0	59595.0	29702.0	116901.0	49370.0	345073.0	134497.0	233077.0	109844.0	1546274.0	79329.0	42773.0
Lactobacillus_reuteri	227299.0	311157.0	347294.0	310065.0	191290.0	210927.0	125126.0	2090.0	3634.0	237440.0	183831.0	34892.0
Lactobacillus_taiwanensis	917.0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_sp_ASF356	989.0	646.0	363.0	1169.0	1308.0	2391.0	4067.0	8007.0	1147.0	1720.0	16244.0	4161.0
Clostridium_sp_ASF502	966.0	10377.0	4695.0	17926.0	3102.0	96814.0	300939.0	201771.0	16688.0	565435.0	245028.0	358760.0
Anaerofustis_stercorihominis	0	0	0	0	0	0	0	3243.0	6241.0	0	0	0
Eubacterium_sp_14_2	9443.0	8692.0	2561.0	9034.0	5444.0	31568.0	14108.0	1459.0	3876.0	3733.0	4293.0	12797.0
Acetatifactor_muris	0	0	0	2630.0	0	1467.0	150158.0	63272.0	16447.0	268820.0	162559.0	196066.0
Dorea_sp_5_2	156158.0	697126.0	256103.0	367313.0	202563.0	341263.0	195787.0	533824.0	106708.0	309632.0	846171.0	178910.0
Clostridium_symbiosum	0	2876.0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_bacterium_10_1	75599.0	1158.0	2812.0	456535.0	0	15317.0	4845.0	0	0	0	611.0	8103.0
Lachnospiraceae_bacterium_28_4	0	0	0	477.0	0	0	0	0	0	0	1170.0	0
Lachnospiraceae_bacterium_3_1	367.0	3178.0	91.0	1681.0	362.0	2006.0	2786.0	2099.0	560.0	6316.0	4552.0	2794.0
Lachnospiraceae_bacterium_3_2	0	6425.0	0	0	0	0	4249.0	13055.0	7854.0	19179.0	15205.0	4171.0
Lachnospiraceae_bacterium_A2	165.0	0	0	39921.0	0	0	61107.0	12025.0	85.0	16446.0	43474.0	72738.0
Lachnospiraceae_bacterium_A4	31484.0	26342.0	570434.0	2455.0	0	24825.0	13175.0	46350.0	0	0	5868.0	14296.0
Lachnospiraceae_bacterium_COE1	0	0	0	791.0	0	0	41747.0	528.0	7684.0	183299.0	0	63372.0
Lachnospiraceae_bacterium_M18_1	190229.0	71386.0	353402.0	129082.0	17426.0	65581.0	242429.0	39079.0	20285.0	193711.0	38986.0	211977.0
Oscillibacter_sp_1_3	20609.0	151788.0	9494.0	12311.0	2920.0	30184.0	99948.0	69350.0	4936.0	133288.0	64097.0	127627.0
Romboutsia_ilealis	0	0	416.0	64.0	0	0	0	0	0	125.0	0	0
Acutalibacter_muris	1243.0	4075.0	634.0	666.0	0	3268.0	738.0	485.0	0	523.0	7502.0	725.0
Anaerotruncus_sp_G3_2012	16262.0	50786.0	20784.0	34033.0	14387.0	104532.0	24966.0	62172.0	26873.0	62126.0	112214.0	36620.0
Clostridium_leptum	0	0	0	0	0	136.0	0	0	0	0	0	0
Clostridium_methylpentosum	368.0	908.0	1355.0	1472.0	2631.0	1364.0	0	324.0	50.0	0	0	0
Ruthenibacterium_lactatiformans	5854.0	10848.0	13041.0	17351.0	38882.0	38171.0	54929.0	90431.0	4234.0	27692.0	0	24354.0
Dubosiella_newyorkensis	36416.0	45986.0	36859.0	47073.0	46092.0	34379.0	333560.0	210914.0	1052463.0	238906.0	267281.0	119194.0
Clostridium_cocleatum	63404.0	73028.0	48111.0	93163.0	64844.0	57144.0	20507.0	40372.0	15262.0	15808.0	6402.0	12072.0
Faecalibaculum_rodentium	242547.0	237689.0	223656.0	327706.0	277802.0	223973.0	260832.0	126146.0	1200161.0	521872.0	294290.0	97026.0
Ileibacterium_valens	0	8864.0	3409.0	782.0	0	2045.0	4091.0	783.0	2826.0	782.0	2347.0	782.0
Firmicutes_bacterium_ASF500	906.0	29708.0	19674.0	2958.0	16136.0	4100.0	28187.0	54533.0	19184.0	35291.0	103102.0	21285.0
Turicimonas_muris	1478902.0	1432133.0	1311971.0	777429.0	2498712.0	1062809.0	732994.0	611144.0	2774224.0	1364989.0	1475376.0	568604.0
Desulfovibrionaceae_bacterium	162.0	322.0	311.0	0	0	1365.0	0	471.0	6305.0	261.0	777.0	55.0
Helicobacter_japonicus	1033393.0	661203.0	189674.0	1084995.0	1239744.0	991469.0	3895738.0	1531739.0	827640.0	840981.0	979810.0	3696236.0
