B	C	WT
Gnai3	5.27249604040217	4.70503314260946	4.7832704545944
Pbsn	0	0	0
Cdc45	9.98167193852522	9.94650836682408	10.3528540780832
H19	1.36536865877047	1.09112607304295	1.05100284335448
Scml2	0.693393330402154	0.576901782982526	0.700964117508859
Apoh	0.0752431235123071	0.0699465150496859	0.0397904322451674
Narf	105.206407173692	90.6364500997267	97.3235750304359
Cav2	16.9856229174692	14.0799430132879	13.4972930278783
Klf6	189.622176439214	171.942055737526	176.874105028856
Scmh1	48.1701877059747	44.405119250896	43.7808441564425
Cox5a	19.2367719700816	23.1820114527232	23.0623408494263
Tbx2	1.08911635420275	1.33351853570834	0.858397908780411
Tbx4	0.012512172657915	0.0208753907304814	0.0122227366693226
Zfy2	0	0	0
Ngfr	0.523563168923893	0.426930277626568	0.53152372870916
Wnt3	0.00234233057502812	0.00408477840847448	0.00288398283410409
Wnt9a	0.0508497801845769	0.035708455251919	0.0407962323812488
Fer	0.449587565664339	0.385790971200768	0.400064370510517
Xpo6	29.2072943263901	27.9939570592162	24.9458005121515
Tfe3	27.5163512617054	27.6287650002378	25.729165922863
Axin2	33.4450089313117	35.3212656511469	28.8286107907644
Brat1	1.84401043768929	1.8953038783319	1.77801814511971
Gna12	0.451334330778839	0.489740404199899	0.445944489776039
Slc22a18	2.37151167478971	2.66337945337945	2.43285766336302
Itgb2l	10.8529128840205	7.18197451257661	6.8394415286124
Igsf5	2.77892953845691	2.49993195338492	2.69727124819221
Pih1d2	2.61058081093528	2.16522092528055	2.22258954448145
Dlat	27.6358923903827	26.8530186987604	29.5822917040419
Sdhd	46.1336627576854	47.5952397505823	49.225377728168
Fgf23	0.00245148208988796	0.0029023278297349	0.00404549125409413
Fgf6	0	0.00290601565744632	0
Ccnd2	1332.69386981922	1254.58667655163	1194.40119805338
Gpr107	31.5115685941288	30.6171884778044	27.5988110919683
Nalcn	1.27262961928452	0.686813858794572	1.25502483754672
Btbd17	0.0317814830670885	0.0433937248525119	0.0213452186552022
Slfn4	16.8799559734937	8.88626837844234	7.09517511499753
Th	0.0544847213471692	0.115872860172953	0.11338211625812
Ins2	0	0	0
Scnn1g	0.185893262129428	0.220063085708461	0.298181378070335
Drp2	0.282170487271805	0.249152354937582	0.263121109223051
Tspan32	2.79527132755735	4.87635288076123	3.71905087875168
Lhx2	0.0529429790799858	0.0426785066593306	0.0319155009728782
Clec2g	0.0824097045990885	0.124180347603917	0.0887534450663806
Gmpr	5.34439644435562	6.41106252245757	6.35699243980501
Glra1	5.60236515765403e-05	9.93139604635804e-05	0
Mid2	33.0896960117718	33.0359295255991	31.0340447046786
Trim25	15.0639860697355	12.5339412678639	11.0436191101142
Dgke	1.09588752735193	0.979438759073896	0.883096124075546
Scpep1	1.90476924703069	2.16409319123185	1.90224893495561
Mnt	22.9608343276724	22.2499483021833	19.7462417133035
Itgb2	1.5881804852463	2.31437010239252	1.45112117199137
Hddc2	5.90521606945982	5.44359483807352	6.07325094546539
Tpd52l1	0.143134804383957	0.0900559192378292	0.118123794700033
Pemt	7.87032272487079	6.32767682899463	7.01076671007561
Cdh1	25.0393533433691	24.6766066632731	24.8334832696175
Cdh4	1.62336967503502	1.30477052867204	1.13699373507837
Ckmt1	2266.30607965307	2716.57076146414	2998.60324551251
Bcl6b	2.50134618314933	3.36883905216006	2.80931442345382
Clec10a	7.03030348875337	6.03420661339887	3.83332038318221
Alox12	0.334167684406365	0.459488292984831	0.252266748415869
Comt	43.9252616091053	47.4133183336762	46.1813692975
Rtca	8.16722613524106	9.03901012824747	8.73370079615029
Dbt	4.01321396221091	4.0282459164978	3.88096858937
Dazap2	691.656871465057	776.636951961461	750.148386048284
Mcts1	13.5614278476951	12.2208352761242	12.1552279336585
Rem1	4.39913562643462	4.5200637625941	3.4835832935508
Rnf17	0.0208167648808327	0.0325585976270494	0.0232372556234905
Trappc10	45.971086573198	42.709139064529	43.3189440375613
Ccm2	29.8927043476356	32.9692501368871	31.0103951510855
Wap	0	0.0158158248823935	0
Tbrg4	108.302543534456	118.67724328211	105.706219312723
Tmprss2	520.644575027414	497.581290785935	552.086501239225
Mx1	18.1791419519724	7.2453005417216	6.47503684745463
Fap	5.43427535113045	4.44050363076162	4.29666327675795
Gcg	37.6331153301968	33.2335245535511	34.9649672847075
Ndufa9	24.8305582706276	25.5669310027451	28.0339197417703
Egfl6	0.00520128067205298	0.00419258971250665	0.00681024796879185
Lck	10.4525808373536	16.1280464325566	10.4206814574349
Tssk3	0.0868839263051393	0.0592776863364209	0.0779553085945889
Cttnbp2	4.30077825672304	4.92810561793524	5.34148537504997
Galnt1	52.4437123029652	45.4144313917636	46.2230969146011
Myf5	0	0	0
Mkrn2	23.968920410425	24.3450418875971	23.266159209143
Pparg	5.49944041026046	5.51243642344015	5.41189147244883
Raf1	70.3838288133132	73.0314675383916	68.0375710536338
Septin1	15.0236943773962	25.071459533318	17.0128433513969
Gm4532	15.0236943773962	25.071459533318	17.0128433513969
Pdgfb	0.971092454747804	0.939901951574104	0.642164080812377
Acvrl1	23.9287789197196	25.8436939916395	20.620233355909
Tamalin	0.944887705917798	0.971195223820904	0.805313734699113
Acvr1b	4.05765639056697	3.9525503491408	3.94043568264571
Tom1l2	81.1093077202143	72.6933412915495	73.0371257918964
Gpa33	30.441390455379	32.3466920272434	32.2087651321858
Zfp385a	0.628118323598943	0.66798044704735	0.538111606960545
Itga5	82.2547508597603	62.9948260456951	59.3822007357274
Gabra2	0.0352261672819782	0.0228091704906632	0.0442131390084301
Wdr77	16.1566279519017	17.9413530222275	18.2114085308125
Adora3	0.542839077623245	0.453521959304944	0.423723995289191
Tmigd3	0.542839077623245	0.453521959304944	0.423723995289191
Atp5pb	863.417849289251	874.607977675173	928.047838161464
Sox9	16.2813786914907	15.628067652797	15.0415112903181
Hnrnpd	116.255524251709	115.910550805525	113.959058913616
Dynlt1c	2.2138398687982	2.18883078715072	1.97616260279811
C1d	18.3598960230661	16.8196029988849	18.5999293516822
Gm2a	5.11173935687953	6.35309610847472	5.55166183228994
Krit1	53.5950888781093	47.6942870200987	44.4592906591243
Clcn4	90.9674976371886	86.563973566111	89.742777148707
Vmn2r88	0	0	0
Grm6	0.1115526282283	0.207866505808657	0.203910490669815
Sema4f	0.348155029812347	0.314687533724286	0.284872465288522
Hk2	127.822325902293	107.990228646636	90.7330416951073
Myo18a	113.073297843037	98.6494668336701	90.954196200673
Sez6	1.81189213449636	1.363444827222	2.65038393731251
Haao	4.85835584313786	6.66172491223845	5.47144813959354
Cd52	94.0762496043651	163.112245502897	115.699454339347
Abhd15	0.149776386098758	0.153539088454463	0.140744317637757
Hoxb6	18.2517480383816	42.7016462720955	13.3842549933932
Loxl3	9.9685259140542	8.32351895855204	7.88736751089841
Tcl1b5	0	0	0
Btn1a1	3.52582215384782	1.96837513400803	3.17040939236151
Kat2b	23.8368317046403	19.6316736971098	20.2064259892706
Rab5b	10.071044877749	10.1517782462965	9.84638485803383
Cryba1	0.00961085465220402	0.0130324941534912	0.013870833613755
Dnmt3l	0.126835312230604	0.129302938745401	0.10108558830554
Aire	0.106424044835581	0.0962066949504265	0.0749318593467344
Icosl	5.18476809726619	5.34472215156657	4.80038904918371
Spg7	24.4372240167011	25.4747086176559	22.9690374017696
Sult5a1	0.944431589601961	0.354058868972174	0.239814299158665
Rpl13	696.005746135004	861.389183120736	852.644017240272
Chmp1a	61.7254135831251	67.4323381195376	66.0856956112067
Rpa1	8.45170710839498	8.91131416485354	9.13377597593842
Serpinf1	12.5823902660937	8.19936960623682	7.95434887222629
Tubgcp3	30.7414563675093	29.303055616998	27.0311583024837
Oprm1	0.00570395504740318	0.00444387016712926	0.00433875228204615
Polr3d	51.3276279730409	56.2299023909028	51.469241798034
Tcf7	0.627709242557158	1.19363813757627	0.826136005826415
Ddx3x	438.816045852083	381.572745800835	384.902421876894
Il12rb1	2.07584111588279	2.38262975403591	1.32126084375746
Slc5a5	0.105942373881757	0.0874789445748718	0.1211421919949
Kcnn3	2.27388911019797	1.30784785530258	1.80043818379628
Usp32	33.538753186826	28.4759441535538	27.5008708386231
Car4	795.601069696688	567.854611445743	959.695833346679
Txnrd3	0.349236802780443	0.369064049331173	0.346808787716249
Fasl	0.164729126961095	0.163143818949134	0.139295875727565
Zfp512b	42.5316000078196	37.9685973523564	35.0253469291285
Dnajc5	230.789675786417	213.560635647867	217.506521365775
Tpd52l2	33.4744677177377	34.4120751959048	35.4100304278325
Fmr1	198.802683621712	161.592806514582	171.846837384673
Bcl11a	1.80925710522282	2.11552043315611	1.74032677328083
Il4	0.3346053190898	0.347319610699489	0.399575463357778
Pxmp4	5.27219383012744	6.59230506621059	5.43237644937987
Dlg3	21.8426384579922	18.567878080789	20.4250334580432
Gnb1l	0.635187117263276	0.725542510764369	0.716626295600511
Dbh	19.1150871492373	20.2312821941772	23.1924105728307
Mmp11	5.69332021386449	6.64603200802686	5.35954197111472
Smarcb1	13.6259904344668	14.7288180056508	13.6438479176027
Vpreb3	0.70663497905524	2.25448468531282	1.67265436998677
Hip1r	107.486841079581	106.801162269983	91.6686040726933
Nsun5	17.9617744096628	17.3207678907826	16.5830210187083
Top1mt	4.0386924549248	4.16532201058176	3.98840474479227
Hoxa10	40.1412267074736	30.3103747536428	39.4759774419061
Hoxa4	0.982208108949621	0.944237965453522	1.20013608986523
Mmp14	61.0358776365585	59.0073026081625	51.9624641494137
Slc7a7	17.4471073335858	20.8706447838875	17.1800305169928
Oxa1l	109.438149198776	138.143149296841	118.804504045445
Heatr6	22.4153823513087	22.226370971335	19.4770298304444
Ccl3	0.436488727732116	0.740699726842645	0.397496967626318
Wfdc18	5.31470119019967	3.34905506209277	5.49635559070405
Icam4	0	0	0
Ilf2	27.3837714853749	27.5058847778207	26.429468633781
Chtop	21.8234971660026	21.4472047515065	20.8409978838841
Snapin	38.1801211024698	40.1386329132497	37.7660549567166
S100a4	1.43976586677928	1.79820927370401	1.80644343675665
S100a3	0.0167749992300397	0.0157303096710343	0.0356790775981327
S100a5	0.0540987132480929	0.0575809533451086	0.0765619900517598
S100a6	698.153905481374	755.99444146658	869.217389422698
Scn4a	0.176310109925216	0.259457713915329	0.152950340463857
Icam2	2.26603699915403	3.26131509367809	2.50808733180417
Mapk7	17.5236708802011	17.9979697530198	15.5766807901661
Epn2	3.92390720824564	3.51477801807371	3.23904028272994
