Index	Compounds	物质	Class	物质类别	Q1 (Da)	Q3 (Da)	Molecular Weight	Ion mode	Ionization model	Formula	1	2	cpd_ID	CAS	kegg_map
2-AF	2-Aminophenol	邻氨基苯酚	Aniline Compounds	苯胺化合物	110.1	110.1	109.0528	Positive	[M+H]+	C6H7NO	1262.64600	1425.26400	-	95-55-6	-
2-AA	2-Aminobenzoic acid	邻氨基苯甲酸	Benzoic acids and derivatives	苯甲酸及其衍生物	138	120.1	137.0477	Positive	[M+H]+	C7H7NO2	1249.81800	1262.14800	C00108	118-92-3	"ko00380,ko00400,ko00405,ko00621,ko00627,ko00996,ko00997,ko00998,ko01100,ko01110,ko01120,ko01220,ko01230"
3-HAA	3-Hydroxyanthranilic acid	3-羟基邻氨基苯甲酸	Benzoic acids and derivatives	苯甲酸及其衍生物	152	108	153.0426	Negative	[M-H]-	C7H7NO3	5.64014	4.96196	C00632	548-93-6	"ko00380,ko00627,ko01100,ko01120,ko01240"
3-MeOAA	2-Amino-3-methoxybenzoic acid	2-氨基-3-甲氧基苯甲酸	Benzoic acids and derivatives	苯甲酸及其衍生物	166	107	167.0582	Negative	[M-H]-	C8H9NO3	N/A	N/A	C05831	3177-80-8	ko00380
6-HMLT	6-Hydroxy melatonin	6-羟基褪黑素	Indoles and derivatives	吲哚及其衍生物	247.1	232.2	248.1161	Negative	[M-H]-	C13H16N2O3	N/A	N/A	C05643	2208-41-5	ko00380
SER	Serotonin	血清素	Indoles and derivatives	吲哚及其衍生物	177	160.2	176.095	Positive	[M+H]+	C10H12N2O	N/A	N/A	C00780	50-67-9	"ko00380,ko01100,ko01110"
IGA	3-Indoleglyoxylic acid	吲哚-3-乙醛酸	Indoles and derivatives	吲哚及其衍生物	190	144.1	189.0426	Positive	[M+H]+	C10H7NO3	N/A	N/A	-	1477-49-2	-
5_HTOL	5-Hydroxytryptophol	5-羟基色醇	Indoles and derivatives	吲哚及其衍生物	178.1	160.2	177.079	Positive	[M+H]+	C10H11NO2	N/A	N/A	-	154-02-9	-
TRM	Tryptamine	色胺	Indoles and derivatives	吲哚及其衍生物	161.1	144.1	160.1	Positive	[M+H]+	C10H12N2	23.53920	24.53562	C00398	61-54-1	"ko00380,ko00901,ko01100,ko01110"
IEt	Tryptophol	3-吲哚乙醇	Indoles and derivatives	吲哚及其衍生物	162.1	144.1	161.0841	Positive	[M+H]+	C10H11NO	146.60040	160.36620	C00955	526-55-6	ko00380
IAM	Indole-3-acetamide	吲哚-3-乙酰胺	Indoles and derivatives	吲哚及其衍生物	173.2	130	174.0793	Negative	[M-H]-	C10H10N2O	60.17040	53.11200	C02693	879-37-8	"ko00380,ko01100"
5-Me-IAA	5-Methoxyindoleacetic acid	5-甲氧基吲哚-3-乙酸	Indoles and derivatives	吲哚及其衍生物	206.1	160.1	205.0739	Positive	[M+H]+	C11H11NO3	0.61294	0.87217	C05660	3471-31-6	ko00380
L-TRP	L-tryptophan	L-色氨酸	Indoles and derivatives	吲哚及其衍生物	205	159.1	204.0899	Positive	[M+H]+	C11H12N2O2	22534.74000	22324.92000	C00078	73-22-3	"ko00260,ko00380,ko00400,ko00404,ko00901,ko00970,ko00996,ko00997,ko01100,ko01110,ko01210,ko01230,ko01240,ko05143"
NAS	N-acetylserotonin	N-乙酰5-羟色胺	Indoles and derivatives	吲哚及其衍生物	219.1	202.2	218.1055	Positive	[M+H]+	C12H14N2O2	0.48231	0.74623	C00978	1210-83-9	"ko00380,ko01100,ko01110"
