Biomarkernames	Log10AverageAbundance	EnrichedGroups	LDA	KW_Pvalue	group	stage
Bacteroides_caecimuris	3.784698853	C	3.428983838	0.003748074	CvsWT	22w
Bacteroides_intestinalis	3.691077069	C	3.430296623	0.006008323	CvsWT	22w
Bacteroides_massiliensis	3.556086736	C	3.255603625	0.048894228	CvsWT	22w
Muribaculum_intestinale	5.197089211	C	4.840431915	2.69E-05	CvsWT	22w
Alistipes_indistinctus	2.833338389	C	2.609789645	0.048894228	CvsWT	22w
Parabacteroides_goldsteinii	4.980724436	C	4.605676431	0.002096426	CvsWT	22w
Enterococcus_faecalis	3.23279442	C	3.024284488	0.000297411	CvsWT	22w
Lachnospiraceae_bacterium_3_1	3.330025442	C	2.900162645	0.041631652	CvsWT	22w
Escherichia_coli	4.591210494	C	4.361369201	0.00136289	CvsWT	22w
Bifidobacterium_pseudolongum	4.464433483	WT	-4.185106884	0.000215787	CvsWT	22w
Enterorhabdus_caecimuris	3.203065939	WT	-2.226589481	0.046000755	CvsWT	22w
Bacteroides_thetaiotaomicron	3.877207994	WT	-3.525447761	0.001396434	CvsWT	22w
Bacteroides_uniformis	4.637116023	WT	-4.130967885	0.005611532	CvsWT	22w
Lactobacillus_johnsonii	4.731057872	WT	-4.321063297	0.015904841	CvsWT	22w
Lactobacillus_murinus	4.184816516	WT	-3.671368778	0.022232024	CvsWT	22w
Clostridium_sp_ASF502	2.941529179	WT	-2.549772641	0.027233325	CvsWT	22w
Dorea_sp_5_2	4.248575264	WT	-3.675785281	0.037660802	CvsWT	22w
Anaerotruncus_colihominis	2.93446601	WT	-2.545388011	0.000986975	CvsWT	22w
Bifidobacterium_pseudolongum	3.866875854	B	-3.312595409	0.019691236	CvsB	22w
Adlercreutzia_equolifaciens	2.560743308	B	-2.327178368	5.44E-05	CvsB	22w
Clostridium_sp_ASF502	3.343738026	B	-3.03004466	3.26E-05	CvsB	22w
Lachnospiraceae_bacterium_10_1	4.919464453	B	-4.593465126	0.000498897	CvsB	22w
Lachnospiraceae_bacterium_COE1	3.264770616	B	-2.96179457	0.000107228	CvsB	22w
Oscillibacter_sp_1_3	4.008359343	B	-3.634148969	0.012763759	CvsB	22w
Bacteroides_caecimuris	3.784698853	C	3.356943134	0.001062052	CvsB	22w
Bacteroides_massiliensis	3.556086736	C	3.200500679	0.041833596	CvsB	22w
Butyricimonas_virosa	4.345218408	C	3.99813823	0.013658588	CvsB	22w
Alistipes_indistinctus	2.833338389	C	2.487420042	0.041833596	CvsB	22w
Alistipes_timonensis	3.168355645	C	2.799207983	0.015746371	CvsB	22w
Lachnospiraceae_bacterium_3_1	3.330025442	C	2.927548764	0.006376995	CvsB	22w
Desulfovibrionaceae_bacterium	2.727459941	C	2.358869966	0.004287411	CvsB	22w
Alistipes_timonensis	3.168355645	C	2.840681721	0.040282492	CvsW	22w
Aerococcaceae_bacterium	2.333081971	C	2.021005675	0.049718692	CvsW	22w
Lachnospiraceae_bacterium_3_1	3.330025442	C	2.97801221	0.015893147	CvsW	22w
Helicobacter_japonicus	4.604479634	C	4.162938764	0.033061213	CvsW	22w
Lactobacillus_reuteri	3.768936585	W	-3.206910218	0.014072978	CvsW	22w
Acetatifactor_muris	2.98351677	W	-2.589158292	0.017106031	CvsW	22w
Lachnospiraceae_bacterium_10_1	4.912740371	W	-4.529911974	0.00117643	CvsW	22w
Lachnospiraceae_bacterium_COE1	3.468844038	W	-3.204683107	1.27E-05	CvsW	22w
Mucispirillum_schaedleri	4.585436099	C	4.14798026	0.017535989	CvsP	22w
Acutalibacter_muris	3.520866608	C	3.191001349	0.004908207	CvsP	22w
Helicobacter_japonicus	4.604479634	C	4.120180338	0.034345612	CvsP	22w
Clostridium_symbiosum	3.391057473	P	-3.101266853	0.048843003	CvsP	22w
Lachnospiraceae_bacterium_10_1	5.054926167	P	-4.647140291	0.003858042	CvsP	22w
Lachnospiraceae_bacterium_3_2	3.187571852	P	-2.805665136	0.01218155	CvsP	22w
Lachnospiraceae_bacterium_COE1	2.940332771	P	-2.751682001	0.000210935	CvsP	22w
Clostridium_cocleatum	3.800162219	P	-3.278978764	0.019442975	CvsP	22w
Clostridium_methylpentosum	2.178779182	P	2.212574305	0.002039693	PvsW	22w
Enterorhabdus_caecimuris	3.041254503	W	-2.432132066	0.033997779	PvsW	22w
Lactobacillus_reuteri	3.768936585	W	-3.410789303	0.00017265	PvsW	22w
Paenalcaligenes_hominis	2.906458175	W	-2.519894183	0.026650937	PvsW	22w
Psychrobacter_pasteurii	2.731623318	W	-2.329929239	0.049898623	PvsW	22w
Adlercreutzia_equolifaciens	2.560743308	B	2.274904879	0.005196944	BvsW	22w
Lactobacillus_murinus	3.566655844	B	3.034018299	0.026026074	BvsW	22w
Clostridium_sp_ASF502	3.343738026	B	2.940185871	0.001933759	BvsW	22w
Oscillibacter_sp_1_3	4.008359343	B	3.458722649	0.036180617	BvsW	22w
Enterorhabdus_caecimuris	3.041254503	W	-2.317186286	0.00776183	BvsW	22w
Bacteroides_sartorii	4.23915107	W	-4.018558196	0.029008258	BvsW	22w
Bacteroides_vulgatus	4.253505348	W	-3.863787191	0.015574222	BvsW	22w
Faecalibaculum_rodentium	5.281182676	W	-4.691960604	0.026026074	BvsW	22w
Desulfovibrionaceae_bacterium	2.381592025	W	-2.205624778	0.048590147	BvsW	22w
Parabacteroides_goldsteinii	4.720085939	C	4.197165301	0.001690642	CvsWT	14w
Clostridium_sp_ASF502	2.872455888	C	2.428580089	0.000169332	CvsWT	14w
Dorea_sp_5_2	4.598761611	C	4.075304021	0.045371905	CvsWT	14w
