Sample	TrpB	Group
B_F_2_7_1_kneaddata_Abundance	170.989	B_14w
B_F_3_8_1_kneaddata_Abundance	523.191	B_14w
B_F_4_3_1_kneaddata_Abundance	151.898	B_14w
B_F_4_8_1_kneaddata_Abundance	118.172	B_14w
B_F_5_3_1_kneaddata_Abundance	19.1941	B_14w
B_F_6_2_1_kneaddata_Abundance	629.042	B_14w
B_F_7_4_1_kneaddata_Abundance	325.261	B_14w
B_M_1_5_1_kneaddata_Abundance	5.46869	B_14w
B_M_2_3_1_kneaddata_Abundance	0	B_14w
B_M_3_10_1_kneaddata_Abundance	0	B_14w
B_M_4_1_1_kneaddata_Abundance	0	B_14w
B_M_6_8_1_kneaddata_Abundance	0	B_14w
B_M_7_4_1_kneaddata_Abundance	0	B_14w
B_M_7_5_1_kneaddata_Abundance	0	B_14w
C_F_2_10_1_kneaddata_Abundance	0	C_14w
C_F_2_8_1_1_kneaddata_Abundance	0	C_14w
C_F_2_8_1_kneaddata_Abundance	0	C_14w
C_F_4_11_1_kneaddata_Abundance	0	C_14w
C_F_4_12_1_kneaddata_Abundance	0	C_14w
C_F_4_21_1_kneaddata_Abundance	0	C_14w
C_F_5_3_1_kneaddata_Abundance	0	C_14w
C_M_1_7_1_kneaddata_Abundance	0	C_14w
C_M_2_4_1_kneaddata_Abundance	0	C_14w
C_M_3_3_1_kneaddata_Abundance	0	C_14w
C_M_4_10_1_kneaddata_Abundance	44.4218	C_14w
C_M_4_1_1_kneaddata_Abundance	52.3362	C_14w
C_M_5_10_1_kneaddata_Abundance	0	C_14w
C_M_6_3_1_kneaddata_Abundance	0	C_14w
C_M_7_2_1_kneaddata_Abundance	0	C_14w
P_F_3_12_1_kneaddata_Abundance	0	P_14w
P_F_3_2_1_kneaddata_Abundance	0	P_14w
P_F_4_8_1_kneaddata_Abundance	0	P_14w
P_F_5_3_1_kneaddata_Abundance	0	P_14w
P_F_5_4_1_kneaddata_Abundance	0	P_14w
P_F_6_2_1_kneaddata_Abundance	0	P_14w
P_F_6_9_1_kneaddata_Abundance	0	P_14w
P_M_1_5_1_kneaddata_Abundance	0	P_14w
P_M_2_8_1_kneaddata_Abundance	0	P_14w
P_M_5_9_1_kneaddata_Abundance	0	P_14w
P_M_6_1_1_kneaddata_Abundance	0	P_14w
P_M_6_5_1_kneaddata_Abundance	0	P_14w
P_M_6_7_1_kneaddata_Abundance	0	P_14w
P_M_7_9_1_kneaddata_Abundance	0	P_14w
WT_F_1_10_1_kneaddata_Abundance	189.371	WT_14w
WT_F_2_6_1_kneaddata_Abundance	89.9947	WT_14w
WT_F_3_1_1_kneaddata_Abundance	173.077	WT_14w
WT_F_4_10_1_kneaddata_Abundance	632.649	WT_14w
WT_F_4_5_1_kneaddata_Abundance	424.198	WT_14w
WT_F_4_9_1_kneaddata_Abundance	580.206	WT_14w
WT_F_5_7_1_kneaddata_Abundance	236.244	WT_14w
WT_M_2_9_1_kneaddata_Abundance	71.1318	WT_14w
WT_M_3_7_1_kneaddata_Abundance	200.798	WT_14w
WT_M_4_3_1_kneaddata_Abundance	402.334	WT_14w
WT_M_4_5_1_kneaddata_Abundance	115.474	WT_14w
WT_M_4_5__1_kneaddata_Abundance	116.016	WT_14w
WT_M_4_7_1_kneaddata_Abundance	306.581	WT_14w
WT_M_6_8_1_kneaddata_Abundance	99.2453	WT_14w
W_F_1_10_1_kneaddata_Abundance	0	W_14w
W_F_2_9_1_kneaddata_Abundance	0	W_14w
W_F_3_8_1_kneaddata_Abundance	0	W_14w
W_F_5_11_1_kneaddata_Abundance	0	W_14w
W_F_5_1_1_kneaddata_Abundance	0	W_14w
W_F_6_1_1_kneaddata_Abundance	0	W_14w
W_F_7_3_1_kneaddata_Abundance	0	W_14w
W_M_2_8_1_kneaddata_Abundance	0	W_14w
