	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006805	GO:0006805	xenobiotic metabolic process	7/97	124/22893	9.89398352827447e-07	0.00150289609794489	0.00130496435378189	Gsta3/Ugt1a1/Fmo2/Fmo5/Gsta4/Gsta2/Cyp2c55	7
GO:0001655	GO:0001655	urogenital system development	9/97	386/22893	3.88248112892569e-05	0.0150661903780317	0.0130819698164815	Gsta3/Cfh/Hoxd11/Wt1/Enpep/Gcnt3/Gcnt4/Prlr/Osr2	9
GO:0070857	GO:0070857	regulation of bile acid biosynthetic process	3/97	16/22893	3.96739707123941e-05	0.0150661903780317	0.0130819698164815	Malrd1/Ces1f/Ces1g	3
GO:1904251	GO:1904251	regulation of bile acid metabolic process	3/97	19/22893	6.8019293505335e-05	0.016100119772961	0.0139797304844046	Malrd1/Ces1f/Ces1g	3
GO:0009410	GO:0009410	response to xenobiotic stimulus	8/97	322/22893	6.85398244848669e-05	0.016100119772961	0.0139797304844046	Gsta3/Ugt1a1/Fmo2/Bche/Fmo5/Gsta4/Gsta2/Cyp2c55	8
GO:0009100	GO:0009100	glycoprotein metabolic process	8/97	332/22893	8.47932575271151e-05	0.016100119772961	0.0139797304844046	Gal3st2c/B3galt2/Slc39a8/Spock3/Ces2a/A4gnt/Gcnt3/Il33	8
GO:0048704	GO:0048704	embryonic skeletal system morphogenesis	5/97	108/22893	9.71829132175723e-05	0.0164023161308325	0.0142421275159787	Hoxd11/Hoxd3/Hoxd4/Hoxb4/Osr2	5
GO:0048706	GO:0048706	embryonic skeletal system development	5/97	145/22893	0.000383997305582979	0.0448686082446573	0.0389594027445727	Hoxd11/Hoxd3/Hoxd4/Hoxb4/Osr2	5
GO:0010565	GO:0010565	regulation of cellular ketone metabolic process	5/97	153/22893	0.000490901603970358	0.0532628240307839	0.0462480984793127	Ugt1a1/Malrd1/Cnr1/Ces1f/Ces1g	5
GO:0090181	GO:0090181	regulation of cholesterol metabolic process	3/97	41/22893	0.000699404609909544	0.0669916902193989	0.0581688699940451	Fmo5/Ces1f/Ces1g	3
GO:0045759	GO:0045759	negative regulation of action potential	2/97	10/22893	0.000782084544806499	0.0669916902193989	0.0581688699940451	Scn9a/Cnr1	2
GO:0042632	GO:0042632	cholesterol homeostasis	4/97	98/22893	0.000806687161953758	0.0669916902193989	0.0581688699940451	Malrd1/Ces1f/Ces1g/Abcg8	4
GO:0055092	GO:0055092	sterol homeostasis	4/97	99/22893	0.000837947408932573	0.0669916902193989	0.0581688699940451	Malrd1/Ces1f/Ces1g/Abcg8	4
GO:0019216	GO:0019216	regulation of lipid metabolic process	7/97	382/22893	0.00120943755232624	0.0756363082067695	0.0656749899054656	Malrd1/Fmo5/Cnr1/Hsd17b13/Ces1f/Ces1g/Nr1d2	7
GO:0043413	GO:0043413	macromolecule glycosylation	5/97	190/22893	0.00129898770089541	0.0756363082067695	0.0656749899054656	B3galt2/Slc39a8/Ces2a/A4gnt/Gcnt3	5
GO:0009404	GO:0009404	toxin metabolic process	2/97	13/22893	0.00134442417484054	0.0756363082067695	0.0656749899054656	Gsta3/Fmo2	2
GO:1905953	GO:1905953	negative regulation of lipid localization	3/97	52/22893	0.00140196803395489	0.0760567658420528	0.0660400731784014	Ces1f/Ces1g/Abcg8	3
GO:0032782	GO:0032782	bile acid secretion	2/97	14/22893	0.00156417031186779	0.0765487741762532	0.0664672839075883	Ces1f/Ces1g	2
GO:0044070	GO:0044070	regulation of anion transport	4/97	118/22893	0.00160681835868679	0.0765487741762532	0.0664672839075883	Ace2/Prkg2/Ces1f/Ces1g	4
GO:0061448	GO:0061448	connective tissue development	6/97	295/22893	0.00161261407086248	0.0765487741762532	0.0664672839075883	Cfh/Hoxd11/Hoxd3/Wt1/Prkg2/Osr2	6
GO:0019748	GO:0019748	secondary metabolic process	3/97	58/22893	0.00192185318739513	0.0858616174015648	0.0745536236472476	Gsta3/Fmo2/a	3
GO:0051216	GO:0051216	cartilage development	5/97	213/22893	0.00214370807420571	0.0904525712421798	0.0785399478649051	Cfh/Hoxd11/Hoxd3/Prkg2/Osr2	5
GO:0070085	GO:0070085	glycosylation	5/97	215/22893	0.00223243577131964	0.0916505388279602	0.0795801428581367	B3galt2/Slc39a8/Ces2a/A4gnt/Gcnt3	5
GO:0007631	GO:0007631	feeding behavior	4/97	131/22893	0.00235294411365767	0.0940558449643686	0.0816686696513315	Oprk1/a/Ace2/Cnr1	4
GO:0033344	GO:0033344	cholesterol efflux	3/97	64/22893	0.00254791544049951	0.0986632364132458	0.0856692666406549	Ces1f/Ces1g/Abcg8	3
GO:0048712	GO:0048712	negative regulation of astrocyte differentiation	2/97	20/22893	0.00321225406722464	0.107717371497897	0.0935309701582515	Dab1/Ntrk3	2
GO:0071397	GO:0071397	cellular response to cholesterol	2/97	20/22893	0.00321225406722464	0.107717371497897	0.0935309701582515	Ces1f/Ces1g	2
GO:0009952	GO:0009952	anterior/posterior pattern specification	5/97	235/22893	0.00327310570739113	0.107717371497897	0.0935309701582515	Hoxd11/Hoxd3/Hoxd4/Wt1/Hoxb4	5
GO:0042180	GO:0042180	cellular ketone metabolic process	5/97	236/22893	0.00333292722870385	0.107717371497897	0.0935309701582515	Ugt1a1/Malrd1/Cnr1/Ces1f/Ces1g	5
GO:0019233	GO:0019233	sensory perception of pain	4/97	149/22893	0.0037379714610343	0.117995011542506	0.102455042765503	Oprk1/Scn9a/Cnr1/Il33	4
GO:0071404	GO:0071404	cellular response to low-density lipoprotein particle stimulus	2/97	22/22893	0.00388397009685668	0.117995011542506	0.102455042765503	Ces1f/Ces1g	2
GO:0015850	GO:0015850	organic hydroxy compound transport	5/97	254/22893	0.00454944574333537	0.122922575178904	0.106733645195362	Oprk1/Cnr1/Ces1f/Ces1g/Abcg8	5
GO:0006749	GO:0006749	glutathione metabolic process	3/97	80/22893	0.00478531003242862	0.122922575178904	0.106733645195362	Gsta3/Gsta4/Gsta2	3
GO:0043279	GO:0043279	response to alkaloid	3/97	81/22893	0.00495426451055442	0.122922575178904	0.106733645195362	Oprk1/Bche/Cnr1	3
GO:0062012	GO:0062012	regulation of small molecule metabolic process	6/97	371/22893	0.00499261291265746	0.122922575178904	0.106733645195362	Ugt1a1/Malrd1/Fmo5/Cnr1/Ces1f/Ces1g	6
GO:0051354	GO:0051354	negative regulation of oxidoreductase activity	2/97	25/22893	0.00500264228248157	0.122922575178904	0.106733645195362	Cnr1/Gzma	2
GO:0051791	GO:0051791	medium-chain fatty acid metabolic process	2/97	25/22893	0.00500264228248157	0.122922575178904	0.106733645195362	Ces1f/Ces1g	2
GO:0048705	GO:0048705	skeletal system morphogenesis	5/97	260/22893	0.00501724796648587	0.122922575178904	0.106733645195362	Hoxd11/Hoxd3/Hoxd4/Hoxb4/Osr2	5
GO:0070723	GO:0070723	response to cholesterol	2/97	26/22893	0.00540464397716426	0.124388700019887	0.10800668107475	Ces1f/Ces1g	2
GO:0035592	GO:0035592	establishment of protein localization to extracellular region	6/97	401/22893	0.00722034380002124	0.158952206264236	0.138018166001932	Zbed6/Malrd1/Cnr1/Pclo/Afm/Pcsk1	6
GO:0071692	GO:0071692	protein localization to extracellular region	6/97	407/22893	0.00774043492471609	0.162162673641941	0.140805814125188	Zbed6/Malrd1/Cnr1/Pclo/Afm/Pcsk1	6
GO:0003081	GO:0003081	regulation of systemic arterial blood pressure by renin-angiotensin	2/97	32/22893	0.00811347149228935	0.162162673641941	0.140805814125188	Ace2/Enpep	2
GO:0010875	GO:0010875	positive regulation of cholesterol efflux	2/97	32/22893	0.00811347149228935	0.162162673641941	0.140805814125188	Ces1f/Ces1g	2
GO:0022011	GO:0022011	myelination in peripheral nervous system	2/97	32/22893	0.00811347149228935	0.162162673641941	0.140805814125188	Ntrk3/Adgrg6	2
GO:0032292	GO:0032292	peripheral nervous system axon ensheathment	2/97	32/22893	0.00811347149228935	0.162162673641941	0.140805814125188	Ntrk3/Adgrg6	2
GO:0002460	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	6/97	416/22893	0.00857062808059953	0.166907487877316	0.14492573529003	Cfh/Klrd1/Gcnt3/Ighv13-2/Ighv1-12/Il33	6
GO:0050795	GO:0050795	regulation of behavior	3/97	100/22893	0.00886300272208358	0.170416470061329	0.14797258375444	Oprk1/Per3/Cnr1	3
GO:0003156	GO:0003156	regulation of animal organ formation	2/97	34/22893	0.00912651056136957	0.171150241268153	0.148609717133152	Hoxd11/Wt1	2
GO:0016339	GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	2/97	35/22893	0.00965312382048363	0.171579633274486	0.148982558118521	Cdh19/Cdh8	2
GO:0001764	GO:0001764	neuron migration	4/97	196/22893	0.00972609273663047	0.171579633274486	0.148982558118521	Dab1/Ntrk3/Gpm6a/Fzd3	4
GO:0048511	GO:0048511	rhythmic process	5/97	307/22893	0.00992508948238099	0.171579633274486	0.148982558118521	Per3/Grin3a/Prkg2/Ntrk3/Nr1d2	5
GO:0035115	GO:0035115	embryonic forelimb morphogenesis	2/97	36/22893	0.0101929726783973	0.171579633274486	0.148982558118521	Hoxd11/Osr2	2
GO:0016540	GO:0016540	protein autoprocessing	2/97	37/22893	0.0107459379211024	0.171579633274486	0.148982558118521	Myrfl/Pcsk1	2
GO:0071402	GO:0071402	cellular response to lipoprotein particle stimulus	2/97	37/22893	0.0107459379211024	0.171579633274486	0.148982558118521	Ces1f/Ces1g	2
GO:0050886	GO:0050886	endocrine process	3/97	108/22893	0.0109221878943636	0.171579633274486	0.148982558118521	Oprk1/Ace2/Enpep	3
GO:0098656	GO:0098656	anion transmembrane transport	4/97	203/22893	0.0109566981090357	0.171579633274486	0.148982558118521	Gabra3/Ace2/Slc39a8/Slc13a1	4
GO:0034329	GO:0034329	cell junction assembly	6/97	440/22893	0.0110954337363771	0.171979222913845	0.14932952171515	Cdh19/Ace2/Pclo/Ntrk3/Gpm6a/Cdh8	6
GO:0009311	GO:0009311	oligosaccharide metabolic process	2/97	40/22893	0.0124823511081581	0.187729617161309	0.163005585602107	B3galt2/Sis	2
GO:0007589	GO:0007589	body fluid secretion	3/97	115/22893	0.0129325085590416	0.190723111661983	0.165604836223599	Oprk1/Sytl2/Prlr	3
GO:0006739	GO:0006739	NADP metabolic process	2/97	41/22893	0.013086604774735	0.190793500111595	0.165665954499032	Fmo2/Fmo5	2
GO:0014046	GO:0014046	dopamine secretion	2/97	42/22893	0.0137033899886133	0.190793500111595	0.165665954499032	Oprk1/Cnr1	2
GO:0014059	GO:0014059	regulation of dopamine secretion	2/97	42/22893	0.0137033899886133	0.190793500111595	0.165665954499032	Oprk1/Cnr1	2
