	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0009410	GO:0009410	response to xenobiotic stimulus	37/987	322/22893	6.26249845899198e-08	0.0003044200500916	0.000279571115416684	Braf/Nqo1/Mgst1/Acaa1b/Arnt2/Mmp7/Cyp2d26/Adipoq/Cyp2c55/Add3/Cyp2e1/Casp1/Gsta3/Nceh1/Bche/Fmo5/Prkaa2/Cyp2w1/Gsta4/Gclc/Dpyd/Gabrb3/Cntnap2/Fmo2/Fmo1/Abcb1a/Cyp2j6/Aldh1a1/Cyp3a44/Ugt1a6a/Bcl2/Gsta2/Cyp2c66/Cyp2c65/Gsta1/Ugt1a1/Ugt1a7c	37
GO:0006805	GO:0006805	xenobiotic metabolic process	20/987	124/22893	3.47567757198434e-07	0.000844763433870795	0.000775807820146611	Acaa1b/Cyp2d26/Cyp2c55/Cyp2e1/Gsta3/Nceh1/Fmo5/Cyp2w1/Gsta4/Fmo2/Fmo1/Cyp2j6/Cyp3a44/Ugt1a6a/Gsta2/Cyp2c66/Cyp2c65/Gsta1/Ugt1a1/Ugt1a7c	20
GO:0006820	GO:0006820	anion transport	46/987	499/22893	1.16440801217874e-06	0.00138664683751736	0.00127345883734365	Cd36/Mgst1/Pla2g12b/Slc47a1/Ace2/Cacnb4/Glra4/Gopc/Arg2/Slc17a1/Slc17a4/Abcc5/Slc10a2/Slc22a3/Mpc1/Nr3c1/Slc4a10/Lrp2/Slc2a2/Slc16a4/Gabrb1/Prkg2/Slc13a1/Gabre/Gabra3/Ces1f/Gabrb3/Ano7/Slc51a/Slc17a2/Pnpla8/Slc6a20a/Slc16a9/Ptger3/Abcb1a/P2ry4/Casr/Slc51b/Slc39a8/Ntrk2/Per2/Grm7/Ces1g/Slc10a5/Lep/Slc4a4	46
GO:0015833	GO:0015833	peptide transport	34/987	320/22893	1.31798985875801e-06	0.00138664683751736	0.00127345883734365	Pparg/Pde1c/Mgst1/Gip/Mmp7/Nr1d1/Pde8b/Abcc5/Stxbp5l/Slc15a2/Glp1r/Syt7/Acvr1c/Pex5l/Npy2r/Epha5/Sytl4/Ccl5/Rims2/Ptger3/Ildr2/Rfx3/Cnr1/Camk2n1/Rapgef4/Abca12/Casr/Ffar4/Per2/Ptprn2/Lepr/Lep/Pclo/Zbed6	34
GO:0008202	GO:0008202	steroid metabolic process	35/987	337/22893	1.56703353718327e-06	0.00138664683751736	0.00127345883734365	Prox1/Acaa1b/Abca5/Fabp6/Apob/Nr1d1/Akr1c18/Pde8b/Thrb/Cyp39a1/Nr3c1/Cyp2e1/Cubn/Cat/Hsd3b6/Hmgcs2/Fmo5/Mttp/Prkaa2/Scp2/Ppargc1a/Hsd17b14/Ces1f/Akr1c14/Tsku/Pbx1/Cyp3a44/Ugt2b5/Ces1g/Lepr/Lep/Akr1c19/Malrd1/Ugt1a1/Ugt1a7c	35
GO:0042886	GO:0042886	amide transport	36/987	353/22893	1.71155750362151e-06	0.00138664683751736	0.00127345883734365	Pparg/Pde1c/Mgst1/Gip/Mmp7/Nr1d1/Pde8b/Abcc5/Stxbp5l/Slc15a2/Glp1r/Syt7/Acvr1c/Lrp2/Pex5l/Npy2r/Epha5/Sytl4/Ccl5/Rims2/Ptger3/Abcb1a/Ildr2/Rfx3/Cnr1/Camk2n1/Rapgef4/Abca12/Casr/Ffar4/Per2/Ptprn2/Lepr/Lep/Pclo/Zbed6	36
GO:0006869	GO:0006869	lipid transport	38/987	389/22893	2.52282982573373e-06	0.00175192511184166	0.0016089204948777	Pparg/Fasl/Cd36/Hbp1/Pla2g12b/Abca5/Fabp6/Apob/Abca8b/Adipoq/Slc10a2/Abcg8/Syt7/Prap1/Lrat/Mttp/Scp2/Dennd5b/Ces1f/Plscr4/Acsl3/Ano7/Slc51a/Pnpla8/Esyt3/Abcg5/Abcb1a/Abca9/Abca6/Abca12/Slc51b/Prelid2/Gulp1/Ces1g/Slc10a5/Lep/Xkr9/1700057G04Rik	38
GO:0042953	GO:0042953	lipoprotein transport	7/987	18/22893	5.67949207716619e-06	0.00260756038244479	0.00239471271493809	Pparg/Cd36/Apob/Cubn/Lrp2/Mttp/Mia3	7
GO:0044872	GO:0044872	lipoprotein localization	7/987	19/22893	8.65782100440229e-06	0.00350713899186663	0.00322086130523422	Pparg/Cd36/Apob/Cubn/Lrp2/Mttp/Mia3	7
GO:0030073	GO:0030073	insulin secretion	26/987	234/22893	1.02308460399357e-05	0.00356745536866634	0.00327625422936886	Pde1c/Gip/Nr1d1/Pde8b/Stxbp5l/Glp1r/Syt7/Acvr1c/Epha5/Sytl4/Ccl5/Rims2/Ptger3/Ildr2/Rfx3/Cnr1/Camk2n1/Rapgef4/Abca12/Casr/Per2/Ptprn2/Lepr/Lep/Pclo/Zbed6	26
GO:0007623	GO:0007623	circadian rhythm	25/987	221/22893	1.10244424742751e-05	0.00356745536866634	0.00327625422936886	Pparg/Prox1/Nr1d1/Nr1d2/Ppara/Nudt12/Casp1/Npy2r/Mttp/Prkaa2/Per3/Ppargc1a/Prkg2/Bhlhe41/Usp9x/Dpyd/Gabrb3/Ciart/Cntnap2/Ptger3/Ntrk2/Per2/Lepr/Ntrk3/Nlgn1	25
GO:0008206	GO:0008206	bile acid metabolic process	10/987	43/22893	1.11024445415101e-05	0.00356745536866634	0.00327625422936886	Prox1/Acaa1b/Fabp6/Nr1d1/Cyp39a1/Scp2/Ces1f/Ces1g/Lep/Malrd1	10
