	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0009615	GO:0009615	response to virus	16/109	337/22893	5.90118341778293e-12	1.21918449411395e-08	1.02432120588674e-08	Isg15/Spon2/Oasl1/Cxcl10/Oas2/Oas1b/Irf5/Ifitm3/Nlrx1/Dhx58/Slfn8/Igtp/Ifi27l2a/Mx1/Mx2/Rtp4	16
GO:0051607	GO:0051607	defense response to virus	14/109	281/22893	7.21463242332208e-11	5.20764180704847e-08	4.37530001519485e-08	Isg15/Spon2/Oasl1/Cxcl10/Oas2/Oas1b/Irf5/Ifitm3/Nlrx1/Dhx58/Slfn8/Mx1/Mx2/Rtp4	14
GO:0140546	GO:0140546	defense response to symbiont	14/109	282/22893	7.56191937131917e-11	5.20764180704847e-08	4.37530001519485e-08	Isg15/Spon2/Oasl1/Cxcl10/Oas2/Oas1b/Irf5/Ifitm3/Nlrx1/Dhx58/Slfn8/Mx1/Mx2/Rtp4	14
GO:0034341	GO:0034341	response to interferon-gamma	9/109	138/22893	2.06816204392495e-08	1.06820569568723e-05	8.97473476429536e-06	Capg/Ifitm3/Nlrc5/Ccl17/Actg1/Ccl2/Ccl7/Igtp/Cdc42ep2	9
GO:0045071	GO:0045071	negative regulation of viral genome replication	5/109	59/22893	9.10188931690347e-06	0.00268635761838894	0.00225699480955997	Isg15/Oasl1/Oas2/Oas1b/Ifitm3	5
GO:0060700	GO:0060700	regulation of ribonuclease activity	3/109	15/22893	4.58228567595121e-05	0.0105515332932349	0.00886507280814405	Oasl1/Oas2/Oas1b	3
GO:1905144	GO:1905144	response to acetylcholine	4/109	42/22893	4.73420284008238e-05	0.0105515332932349	0.00886507280814405	Tspo/Ly6i/Ly6a/Ly6c1	4
GO:0045824	GO:0045824	negative regulation of innate immune response	5/109	84/22893	5.10722811870033e-05	0.0105515332932349	0.00886507280814405	Isg15/Nlrc5/Nlrx1/Dhx58/Tap1	5
GO:0032103	GO:0032103	positive regulation of response to external stimulus	10/109	450/22893	5.86589712969609e-05	0.0110172213363201	0.00925632953767354	Alox5ap/Oasl1/Cxcl10/Hspb1/Nlrc5/Mmrn2/Dhx58/Ccl2/Ccl7/Igtp	10
GO:0039535	GO:0039535	regulation of RIG-I signaling pathway	3/109	18/22893	8.13279251629463e-05	0.0129248841066652	0.0108590889549553	Oasl1/Nlrx1/Dhx58	3
GO:0002753	GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	4/109	52/22893	0.000110393374534258	0.014520649241514	0.0121998015994582	Oasl1/Nlrx1/Dhx58/Igtp	4
GO:0008360	GO:0008360	regulation of cell shape	6/109	159/22893	0.000114688466353313	0.014520649241514	0.0121998015994582	Spta1/Sprr2a1/Ccl2/Ccl7/Rhob/Cdc42ep2	6
