	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Class
GO:0035456	GO:0035456	response to interferon-beta	23/1400	64/22893	1.33E-12	2.33E-09	1.83E-09	Cdc34/Ifitm3/Ifi211/Gbp3/Ifi206/Shfl/Xaf1/Ifi209/Bst2/Gm12185/Oas1a/Iigp1/Ifi208/Oas1g/Gm4841/Irgm2/Ifi207/Ifi213/Gm4951/Igtp/Ifi47/Tgtp2/Tgtp1	23	GF-Control
GO:0050900	GO:0050900	leukocyte migration	51/1400	378/22893	9.27E-08	1.17E-05	9.22E-06	Mmp14/Lgals9/Itga3/Akt1/Spi1/Tgfb1/Ccl24/Wdr1/Trpm2/Cxcl16/Dpep1/Itgb3/Asb2/Syk/Ror2/Apod/Plec/Ptk2/Trem2/Dusp1/Aif1/Csf1r/Alox5/Slamf9/Ecm1/Emilin1/Cxcl1/Cxcl9/Tacr1/Il17rc/Il34/Ccl17/St3gal4/Dapk2/Slc8b1/Podxl2/Mif/Dysf/Plvap/Cxcl10/Ccl12/Ccl7/Ccl2/Serpine1/C3ar1/Nbl1/S100a14/Rin3/S1pr1/Zfp580/Rhog	51	GF-Control
GO:0034341	GO:0034341	response to interferon-gamma	26/1400	138/22893	2.52E-07	2.87E-05	2.25E-05	Ccl24/Cd40/Myo1c/Cxcl16/Ifitm3/Gsn/Gbp3/Ccl17/Dapk3/Ccl12/Ccl7/Ccl2/Socs1/Shfl/Cdc42ep2/Bst2/Vamp8/Rab11fip5/Capg/Gapdh/H2-Q7/Actg1/Irgm2/Nlrc5/Igtp/Tgtp1	26	GF-Control
GO:0070371	GO:0070371	ERK1 and ERK2 cascade	47/1400	348/22893	2.85E-07	3.11E-05	2.45E-05	Tgfb1/Apoe/Ccl24/Fgfr4/Fbln1/Epha2/Alox15/Dusp6/Itgb3/Slc9a3r1/Syk/Thpo/Trem2/Dusp1/Spry4/Pdgfrb/Csf1r/Hras/Pdgfa/Fn1/Atf3/Dab2ip/Bmp2/Ccn1/Hcrtr1/Emilin1/Cib1/Denn2b/Ccl17/Kars/Agt/Csk/Mif/Map2k2/Ccl12/Ccl7/Ccl2/Abca7/Acta2/Cavin3/Nod1/Ramp3/P2ry6/Jun/Eno1b/Mfhas1/Arhgap8	47	GF-Control
GO:0071347	GO:0071347	cellular response to interleukin-1	16/1400	80/22893	2.29E-05	0.000923181	0.000725795	Ccl24/Mapk13/Cd40/Rela/Fn1/Dab2ip/Zbp1/Ccl17/Adamts7/Cactin/Ccl12/Ccl7/Ccl2/Serpine1/Cebpb/Upf1	16	GF-Control
GO:0034612	GO:0034612	response to tumor necrosis factor	27/1400	203/22893	0.000119186	0.003228812	0.002538458	Akt1/Ccl24/Cd40/Nkiras2/Slc2a4/Cxcl16/Syk/Krt18/Rela/Traf5/Ccdc3/Dab2ip/Traf2/Gbp3/Cib1/Ccl17/Tradd/Adamts7/Plvap/Cactin/Ccl12/Ccl7/Ccl2/Actn4/Sphk1/Hspa1b/Hspa1a	27	GF-Control
GO:0030099	GO:0030099	myeloid cell differentiation	47/1400	438/22893	0.000131591	0.003488784	0.002742845	Zfp385a/Tcirg1/Spi1/Tgfb1/Wdr1/Epha2/Srf/Mb/Fstl3/Itgb3/Fos/Gpr137b/Ror2/Cartpt/Bcl6/Thpo/Trem2/Csf1r/Fasn/Gfi1b/Eif6/Adar/Ctnnbip1/Cib1/Ank1/Il34/Trib1/Gas2l1/Isg15/C1qc/Ifi206/Itpkb/Tcta/Batf2/Il17c/Zfpm1/Jun/Fes/Klf2/Cebpb/Mfap2/Il3ra/Mfhas1/Ifi207/Mafb/Hspa1b/Hspa1a	47	GF-Control
GO:1900744	GO:1900744	regulation of p38MAPK cascade	10/1400	42/22893	0.000172025	0.004311228	0.003389442	Spi1/Emc10/Gadd45g/Trem2/Dusp1/Dab2ip/Bmp2/Sphk1/Cav3/Mfhas1	10	GF-Control
GO:0032640	GO:0032640	tumor necrosis factor production	24/1400	191/22893	0.000642818	0.010834194	0.008517728	Lgals9/Axl/Hspb1/Mapkapk2/Trim27/Syk/Nfatc4/Trem2/Slamf9/Ccn1/Trim30a/Oas3/Oas2/Mif/Cactin/Tmem106a/Ccl2/Spon2/Arid5a/Nod1/Tspo/Clec4a1/Oas1a/Oas1g	24	GF-Control
GO:0097028	GO:0097028	dendritic cell differentiation	9/1400	44/22893	0.001179826	0.016370805	0.012870554	Spi1/Tgfb1/Trpm2/Tmem176a/Trem2/Slamf9/Tmem176b/Batf2/Cebpb	9	GF-Control
