ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05414	hsa05414	Dilated cardiomyopathy	6/29	96/8464	6.9989432754439e-07	0.000101484677493937	9.20913588874197e-05	1674/5350/6547/7042/7168/7169	6
hsa05410	hsa05410	Hypertrophic cardiomyopathy	5/29	90/8464	1.1800978318243e-05	0.000855570928072618	0.000776380152515988	1674/6547/7042/7168/7169	5
hsa04360	hsa04360	Axon guidance	6/29	182/8464	2.86482640852761e-05	0.00138466609745501	0.00125650281075772	1073/55740/3845/10398/4917/9353	6
hsa04814	hsa04814	Motor proteins	5/29	193/8464	0.000445216603364937	0.016139101871979	0.0146452830054256	72/4629/10398/7168/7169	5
hsa04810	hsa04810	Regulation of actin cytoskeleton	5/29	229/8464	0.00096900504678384	0.0281011463567314	0.025500132810101	1073/55740/3845/4629/10398	5
hsa04261	hsa04261	Adrenergic signaling in cardiomyocytes	4/29	154/8464	0.00175623575137386	0.042442363991535	0.0385139419160934	5350/6547/7168/7169	4
hsa04022	hsa04022	cGMP-PKG signaling pathway	4/29	167/8464	0.00236240197727772	0.0489354695293243	0.0444060522044685	10398/5139/5350/6547	4
hsa04260	hsa04260	Cardiac muscle contraction	3/29	87/8464	0.00315994334939449	0.0572739732077752	0.0519727524571463	6547/7168/7169	3
hsa04024	hsa04024	cAMP signaling pathway	4/29	225/8464	0.00685121375676256	0.110380666081175	0.100163943812318	3362/10398/5139/5350	4
hsa04270	hsa04270	Vascular smooth muscle contraction	3/29	134/8464	0.0104957406484416	0.152188239402403	0.138101850637389	72/4629/10398	3
hsa00270	hsa00270	Cysteine and methionine metabolism	2/29	52/8464	0.0135196460408657	0.169410938586167	0.153730434288718	23382/3945	2
hsa04961	hsa04961	Endocrine and other factor-regulated calcium reabsorption	2/29	53/8464	0.0140202156071311	0.169410938586167	0.153730434288718	9365/6547	2
hsa05211	hsa05211	Renal cell carcinoma	2/29	69/8464	0.023077894189018	0.24141259008127	0.219067686099156	3845/7042	2
hsa05230	hsa05230	Central carbon metabolism in cancer	2/29	70/8464	0.0237067475232381	0.24141259008127	0.219067686099156	3845/3945	2
hsa05212	hsa05212	Pancreatic cancer	2/29	76/8464	0.02762634653963	0.24141259008127	0.219067686099156	3845/7042	2
