ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04060	hsa04060	Cytokine-cytokine receptor interaction	37/262	297/8464	2.27541078262704e-13	5.41547766265235e-11	4.09573940872867e-11	6349/414062/6348/6362/1230/1233/939/920/959/64109/1436/1441/1524/2833/10148/2689/2688/1442/1443/3455/3587/3603/8809/59067/50615/9466/3560/3561/4050/84957/7040/23495/10673/8740/6846/6375/2829	37
hsa04660	hsa04660	T cell receptor signaling pathway	21/262	104/8464	4.66579840684244e-12	5.55230010414251e-10	4.1992185661582e-10	84433/919/940/915/917/920/959/2885/29851/3702/27040/3932/3937/4794/5133/5293/5533/5777/10125/7409/7535	21
hsa04659	hsa04659	Th17 cell differentiation	21/262	108/8464	1.00536484156502e-11	7.97589440974918e-10	6.03218904939014e-10	919/915/917/920/10148/50943/3119/3108/3109/59067/50615/9466/3560/3561/27040/3932/4794/5533/30009/7040/7535	21
hsa04650	hsa04650	Natural killer cell mediated cytotoxicity	22/262	132/8464	7.75763953742947e-11	4.61579552477053e-09	3.49093779184326e-09	919/962/2207/2885/3383/3384/3455/3683/3689/22914/27040/7462/3932/3937/5293/5533/5777/5880/117157/7305/7409/7535	22
hsa05235	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	18/262	89/8464	1.6091535813025e-10	7.65957104699991e-09	5.79295289268901e-09	10538/55509/919/940/915/917/920/27040/3932/4615/4794/5133/5293/5533/5777/10125/54106/7535	18
hsa04514	hsa04514	Cell adhesion molecules	23/262	157/8464	4.14648665088815e-10	1.64477303818563e-08	1.24394599526644e-08	914/940/920/959/923/942/3119/3108/3109/3383/3384/29851/3683/3684/3689/3695/4099/5133/6404/6693/201633/7412/64115	23
hsa04658	hsa04658	Th1 and Th2 cell differentiation	17/262	92/8464	2.30556641834669e-09	7.83892582237874e-08	5.92859936146291e-08	919/915/917/920/3119/3108/3109/3560/3561/27040/3932/4794/5533/864/6775/30009/7535	17
hsa05150	hsa05150	Staphylococcus aureus infection	17/262	96/8464	4.56095085995271e-09	1.35688288083593e-07	1.02621394348936e-07	712/713/714/719/721/720/2212/2213/9103/3119/3108/3109/3383/3683/3684/3689/6404	17
hsa04061	hsa04061	Viral protein interaction with cytokine and cytokine receptor	17/262	100/8464	8.70802108653419e-09	2.29574853971948e-07	1.7362804081912e-07	6349/414062/6348/6362/1230/1233/1436/1524/2833/3587/8809/3560/3561/8740/6846/6375/2829	17
hsa05140	hsa05140	Leishmaniasis	15/262	77/8464	9.7350465061925e-09	2.29574853971948e-07	1.7362804081912e-07	1535/1536/2212/9103/3119/3108/3109/3684/3689/4615/653361/4688/4689/5777/7040	15
hsa04670	hsa04670	Leukocyte transendothelial migration	18/262	114/8464	1.06106024945018e-08	2.29574853971948e-07	1.7362804081912e-07	1535/1536/3383/3683/3684/3689/3702/4318/4478/653361/4688/4689/5293/5880/83593/399/7409/7412	18
hsa04662	hsa04662	B cell receptor signaling pathway	15/262	84/8464	3.36497312452522e-08	6.67386336364168e-07	5.04745968678783e-07	55024/695/84433/971/2213/2885/3635/4067/4794/118788/5293/5533/5777/5880/7409	15
hsa04380	hsa04380	Osteoclast differentiation	18/262	128/8464	6.80482472091153e-08	1.24580637198226e-06	9.4220649981852e-07	695/1436/1535/2212/2213/9103/2885/3455/3932/3937/653361/4688/4689/5293/5533/6688/7040/7305	18
hsa04062	hsa04062	Chemokine signaling pathway	22/262	192/8464	1.01875613273064e-07	1.7318854256421e-06	1.30982931351083e-06	6349/414062/6348/6362/1230/1233/1524/2833/1794/2268/2885/3702/4067/653361/5293/57580/5880/7409/7454/6846/6375/2829	22
hsa05323	hsa05323	Rheumatoid arthritis	15/262	93/8464	1.38240550589753e-07	2.19341673602408e-06	1.65888660707704e-06	245972/6349/414062/6348/940/942/3119/3108/3109/3383/3683/3689/4050/7040/10673	15
hsa04672	hsa04672	Intestinal immune network for IgA production	11/262	49/8464	2.08075273311886e-07	3.0951196905143e-06	2.34084682475871e-06	940/959/942/3119/3108/3109/29851/3695/7040/23495/10673	11
hsa05152	hsa05152	Tuberculosis	20/262	180/8464	6.53995179604547e-07	9.15593251446366e-06	6.92465484287168e-06	245972/842/972/64581/11151/2207/2212/2213/9103/3119/3108/3109/3587/3684/3687/3689/4615/5533/7040/54106	20
hsa04145	hsa04145	Phagosome	18/262	152/8464	9.46033118481049e-07	1.25086601221383e-05	9.46033118481049e-06	245972/64581/11151/1535/1536/2212/2213/9103/3119/3108/3109/3684/3689/4481/653361/4688/4689/203068	18
hsa05340	hsa05340	Primary immunodeficiency	9/262	38/8464	1.68785293654129e-06	2.11425788893067e-05	1.59901857146017e-05	695/915/920/959/29851/3561/3932/23495/7535	9
hsa05416	hsa05416	Viral myocarditis	11/262	60/8464	1.80915071010907e-06	2.14495516317047e-05	1.62223499735581e-05	842/940/959/942/3119/3108/3109/3383/3683/3689/5880	11
hsa04640	hsa04640	Hematopoietic cell lineage	14/262	99/8464	1.89260749691512e-06	2.14495516317047e-05	1.62223499735581e-05	914/951/915/917/920/921/924/1436/1441/2322/3119/3108/3109/3684	14
hsa05142	hsa05142	Chagas disease	14/262	102/8464	2.72527024204255e-06	2.94824689820967e-05	2.22976656167118e-05	712/713/714/6349/414062/6348/919/915/917/2769/4615/5293/7040/54106	14
hsa04064	hsa04064	NF-kappa B signaling pathway	14/262	104/8464	3.44828624365988e-06	3.5682266347437e-05	2.698658799386e-05	597/695/84433/959/3383/27040/3932/4050/4067/4615/10673/8740/7412/7535	14
hsa05321	hsa05321	Inflammatory bowel disease	11/262	65/8464	4.11935080598345e-06	4.08502288260025e-05	3.08951310448759e-05	50943/3119/3108/3109/8809/59067/50615/3561/6775/30009/7040	11
hsa05417	hsa05417	Lipid and atherosclerosis	20/262	215/8464	1.03734780743371e-05	9.87555112676892e-05	7.46890421352271e-05	842/6349/414062/6348/959/1535/1536/3383/4067/4318/4615/653361/4688/4689/5293/5452/5533/7157/7409/7412	20
hsa04630	hsa04630	JAK-STAT signaling pathway	17/262	166/8464	1.38969052380595e-05	0.000127210132563775	9.62093439557965e-05	64109/1441/2689/2688/1442/1443/2885/3455/3587/59067/50615/9466/3560/3561/5293/5777/6775	17
