	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	select
hsa04060	hsa04060	Cytokine-cytokine receptor interaction	37/262	297/8464	2.28E-13	5.42E-11	4.10E-11	6349/414062/6348/6362/1230/1233/939/920/959/64109/1436/1441/1524/2833/10148/2689/2688/1442/1443/3455/3587/3603/8809/59067/50615/9466/3560/3561/4050/84957/7040/23495/10673/8740/6846/6375/2829	37	1
hsa04660	hsa04660	T cell receptor signaling pathway	21/262	104/8464	4.67E-12	5.55E-10	4.20E-10	84433/919/940/915/917/920/959/2885/29851/3702/27040/3932/3937/4794/5133/5293/5533/5777/10125/7409/7535	21	1
hsa04659	hsa04659	Th17 cell differentiation	21/262	108/8464	1.01E-11	7.98E-10	6.03E-10	919/915/917/920/10148/50943/3119/3108/3109/59067/50615/9466/3560/3561/27040/3932/4794/5533/30009/7040/7535	21	1
hsa04650	hsa04650	Natural killer cell mediated cytotoxicity	22/262	132/8464	7.76E-11	4.62E-09	3.49E-09	919/962/2207/2885/3383/3384/3455/3683/3689/22914/27040/7462/3932/3937/5293/5533/5777/5880/117157/7305/7409/7535	22	1
hsa05235	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	18/262	89/8464	1.61E-10	7.66E-09	5.79E-09	10538/55509/919/940/915/917/920/27040/3932/4615/4794/5133/5293/5533/5777/10125/54106/7535	18	1
hsa04514	hsa04514	Cell adhesion molecules	23/262	157/8464	4.15E-10	1.64E-08	1.24E-08	914/940/920/959/923/942/3119/3108/3109/3383/3384/29851/3683/3684/3689/3695/4099/5133/6404/6693/201633/7412/64115	23	
hsa04658	hsa04658	Th1 and Th2 cell differentiation	17/262	92/8464	2.31E-09	7.84E-08	5.93E-08	919/915/917/920/3119/3108/3109/3560/3561/27040/3932/4794/5533/864/6775/30009/7535	17	1
hsa05150	hsa05150	Staphylococcus aureus infection	17/262	96/8464	4.56E-09	1.36E-07	1.03E-07	712/713/714/719/721/720/2212/2213/9103/3119/3108/3109/3383/3683/3684/3689/6404	17	
hsa04061	hsa04061	Viral protein interaction with cytokine and cytokine receptor	17/262	100/8464	8.71E-09	2.30E-07	1.74E-07	6349/414062/6348/6362/1230/1233/1436/1524/2833/3587/8809/3560/3561/8740/6846/6375/2829	17	
hsa05140	hsa05140	Leishmaniasis	15/262	77/8464	9.74E-09	2.30E-07	1.74E-07	1535/1536/2212/9103/3119/3108/3109/3684/3689/4615/653361/4688/4689/5777/7040	15	
hsa04670	hsa04670	Leukocyte transendothelial migration	18/262	114/8464	1.06E-08	2.30E-07	1.74E-07	1535/1536/3383/3683/3684/3689/3702/4318/4478/653361/4688/4689/5293/5880/83593/399/7409/7412	18	
hsa04662	hsa04662	B cell receptor signaling pathway	15/262	84/8464	3.36E-08	6.67E-07	5.05E-07	55024/695/84433/971/2213/2885/3635/4067/4794/118788/5293/5533/5777/5880/7409	15	1
hsa04380	hsa04380	Osteoclast differentiation	18/262	128/8464	6.80E-08	1.25E-06	9.42E-07	695/1436/1535/2212/2213/9103/2885/3455/3932/3937/653361/4688/4689/5293/5533/6688/7040/7305	18	
hsa04062	hsa04062	Chemokine signaling pathway	22/262	192/8464	1.02E-07	1.73E-06	1.31E-06	6349/414062/6348/6362/1230/1233/1524/2833/1794/2268/2885/3702/4067/653361/5293/57580/5880/7409/7454/6846/6375/2829	22	1
hsa05323	hsa05323	Rheumatoid arthritis	15/262	93/8464	1.38E-07	2.19E-06	1.66E-06	245972/6349/414062/6348/940/942/3119/3108/3109/3383/3683/3689/4050/7040/10673	15	
hsa04672	hsa04672	Intestinal immune network for IgA production	11/262	49/8464	2.08E-07	3.10E-06	2.34E-06	940/959/942/3119/3108/3109/29851/3695/7040/23495/10673	11	
hsa05152	hsa05152	Tuberculosis	20/262	180/8464	6.54E-07	9.16E-06	6.92E-06	245972/842/972/64581/11151/2207/2212/2213/9103/3119/3108/3109/3587/3684/3687/3689/4615/5533/7040/54106	20	
hsa04145	hsa04145	Phagosome	18/262	152/8464	9.46E-07	1.25E-05	9.46E-06	245972/64581/11151/1535/1536/2212/2213/9103/3119/3108/3109/3684/3689/4481/653361/4688/4689/203068	18	
hsa05340	hsa05340	Primary immunodeficiency	9/262	38/8464	1.69E-06	2.11E-05	1.60E-05	695/915/920/959/29851/3561/3932/23495/7535	9	
hsa05416	hsa05416	Viral myocarditis	11/262	60/8464	1.81E-06	2.14E-05	1.62E-05	842/940/959/942/3119/3108/3109/3383/3683/3689/5880	11	
